Zulassungsnr,Wirkungsbereich,Wirkstoff_Main,Gehalt_Main,Einhalt_Main,Wirkstoff_Compound,Gehalt_Compound,Einhalt_Compound,Organismus_Bakteria,MOA No.
024780-67,Insektizid,Rapsöl,825.3,g/l,"",,"",0,
025691-60,Insektizid,Flonicamid,500,g/kg,"",,"",0,29
00B237-61,Insektizid,Tefluthrin,200,g/l,"",,"",0,3A
008402-60,Insektizid,Piperonylbutoxid,213,g/l,"",,"",0,
008402-60,Insektizid,Deltamethrin,25,g/l,"",,"",0,3A
00A494-60,Insektizid,Piperonylbutoxid,50.7,g/l,"",,"",0,
00A494-60,Insektizid,Deltamethrin,6,g/l,"",,"",0,3A
006339-60,Insektizid,Deltamethrin,6,g/l,"",,"",0,3A
006408-00,Insektizid,Pyrethrine,11.45,g/kg,"",,"",0,3A
033141-00,Insektizid,Pyrethrine,4,g/l,"",,"",0,3A
006423-00,Insektizid,Pyrethrine,11.45,g/kg,"",,"",0,3A
006423-00,Insektizid,Piperonylbutoxid,68.67,g/kg,"",,"",0,
006331-60,Insektizid,Deltamethrin,25,g/l,"",,"",0,3A
007213-60,Insektizid,lambda-Cyhalothrin,100,g/l,"",,"",0,3A
006387-00,Insektizid,lambda-Cyhalothrin,50,g/kg,"",,"",0,3A
00A156-60,Insektizid,Maltodextrin,573.89,g/l,"",,"",0,
005618-00,Insektizid,lambda-Cyhalothrin,100,g/l,"",,"",0,3A
024675-00,Insektizid,lambda-Cyhalothrin,100,g/l,"",,"",0,3A
008986-60,Insektizid,lambda-Cyhalothrin,4,g/kg,"",,"",0,3A
005686-60,Insektizid,Acetamiprid,5,g/l,"",,"",0,4A
006331-00,Insektizid,Deltamethrin,25,g/l,"",,"",0,3A
006339-00,Insektizid,Deltamethrin,6,g/l,"",,"",0,3A
024675-60,Insektizid,lambda-Cyhalothrin,100,g/l,"",,"",0,3A
00A931-00,Insektizid,Metarhizium brunneum Stamm Ma 43 (vormals M. anisopliae F52) 900.000.000.000cfu/kg,19.9,g/kg,"",,"",1,
008449-00,Insektizid,Bacillus thuringiensis subspecies kurstaki Stamm EG-2348 32.000IU/mg,150,g/kg,"",,"",1,11A
007213-61,Insektizid,lambda-Cyhalothrin,100,g/l,"",,"",0,3A
024436-69,Insektizid,Azadirachtin,10.6,g/l,"",,"",0,UN
024436-70,Insektizid,Azadirachtin,10.6,g/l,"",,"",0,UN
024436-93,Insektizid,Azadirachtin,10.6,g/l,"",,"",0,UN
024080-62,Insektizid,"Bacillus thuringiensis subspecies kurstaki Stamm ABTS-351 (Stamm HD-1) (33,2 g/l Grundkörper) 17.600IU/mg",33.2,g/l,"",,"",1,11A
006788-65,Insektizid,Deltamethrin,0.008,g/l,"",,"",0,3A
024785-75,Insektizid,Pyrethrine,0.05,g/l,"",,"",0,3A
024785-75,Insektizid,Rapsöl,8.25,g/l,"",,"",0,
024785-76,Insektizid,Pyrethrine,0.05,g/l,"",,"",0,3A
024785-76,Insektizid,Rapsöl,8.25,g/l,"",,"",0,
008252-60,Insektizid,Flupyradifurone,0.08,g/l,"",,"",0,4D
008694-00,Insektizid,Flupyradifurone,18.8,g/kg,"",,"",0,4D
00A001-60,Insektizid,Flupyradifurone,25,g/l,"",,"",0,4D
008252-00,Insektizid,Flupyradifurone,0.08,g/l,"",,"",0,4D
024426-64,Insektizid,Bacillus thuringiensis subspecies aizawai Stamm ABTS-1857 (540 g/kg Grundkörper) 15.000IU/mg,540,g/kg,"",,"",1,11A
024785-77,Insektizid,Pyrethrine,0.05,g/l,"",,"",0,3A
