Zulassungsnr,Wirkungsbereich,Wirkstoff_Main,Gehalt_Main,Einhalt_Main,Wirkstoff_Compound,Gehalt_Compound,Einhalt_Compound,Organismus_Bakteria,FRAC.Group.Code,MOA,Comments
00A112-60,Fungizid,Cymoxanil,600,g/kg,"",,"",0,27,Unknown mode of action,Resistance claims described. Low to medium risk. Resistance management required.
00A657-62,Fungizid,Prothioconazol,250,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
008647-00,Fungizid,Difenoconazol,50,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
008647-00,Fungizid,Fluxapyroxad,75,g/l,"",,"",0,7,Respiration,"Resistance known for several fungal species in field populations and lab mutants.Target site mutations in sdh gene, e.g. H/Y (or H/L) at 257, 267, 272 or P225L, dependent on fungal species. Resistance management required. Medium to high risk.See FRAC SDHI Guidelines for resistance management."
034092-63,Fungizid,Fluazinam,500,g/l,"",,"",0,29,Respiration,"dinitrophenyl crotonates: Resistance not known. Also acaricidal activity._x000D_
2,6-dinitro-anilines: Low risk. However, resistance claimed in Botrytis in Japan."
00B097-00,Fungizid,Kresoxim-methyl,150,g/l,"",,"",0,11,Respiration,"Resistance known in various fungal species. Target site mutations in cyt b gene (G143A, F129L) and additional mechanisms._x000D_
_x000D_
Cross resistance shown between all members of the Code 11 fungicides._x000D_
_x000D_
High risk. See FRAC QoI Guidelines for resistance management."
00B097-00,Fungizid,Mefentrifluconazole,100,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
00A318-00,Fungizid,Pyrimethanil,300,g/kg,"",,"",0,9,Amino acids and protein synthesis,"Resistance known in Botrytis and Venturia, sporadically in Oculimacula .Medium risk. See FRAC Anilinopyrimidine Guidelines for resistance management."
004424-00,Fungizid,Dithianon,700,g/kg,"",,"",0,M09,Chemicals with multi-site activity,Generally considered as a low risk group without any signs of resistance developing to the fungicides
008018-00,Fungizid,Dithianon,125,g/l,"",,"",0,M09,Chemicals with multi-site activity,Generally considered as a low risk group without any signs of resistance developing to the fungicides
008018-00,Fungizid,Kaliumphosphonat (Kaliumphosphit),561.2,g/l,"",,"",0,,,
