Zulassungsnr,Wirkungsbereich,Wirkstoff_Main,Gehalt_Main,Einhalt_Main,Wirkstoff_Compound,Gehalt_Compound,Einhalt_Compound,Organismus_Bakteria,FRAC.Group.Code,MOA,Comments
006860-63,Fungizid,Cyazofamid,160,g/l,"",,"",0,21,Respiration,Resistance risk unknown but assumed to be medium to high (mutations at target site known in model organisms). Resistance management required.
007180-00,Fungizid,Azoxystrobin,250,g/l,"",,"",0,11,Respiration,"Resistance known in various fungal species. Target site mutations in cyt b gene (G143A, F129L) and additional mechanisms._x000D_
_x000D_
Cross resistance shown between all members of the Code 11 fungicides._x000D_
_x000D_
High risk. See FRAC QoI Guidelines for resistance management."
00A896-00,Fungizid,Metconazol,48,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
00A896-00,Fungizid,Prothioconazol,100,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
00B087-60,Fungizid,Pyraclostrobin,200,g/l,"",,"",0,11,Respiration,"Resistance known in various fungal species. Target site mutations in cyt b gene (G143A, F129L) and additional mechanisms._x000D_
_x000D_
Cross resistance shown between all members of the Code 11 fungicides._x000D_
_x000D_
High risk. See FRAC QoI Guidelines for resistance management."
00A994-00,Fungizid,Oxathiapiprolin,200,g/l,"",,"",0,49,Lipid synthesis or transport / membrane integrity or function,Resistance risk assumed to be medium to high (single site inhibitor). Resistance management required. (Previously U15).
008536-00,Fungizid,Fosetyl,621.2,g/kg,Aluminium-Salz,666,g/kg,0,P07,Host plant defence induction,Few resistance cases reported in few pathogens. Low risk. Reclassified from U33 in 2018.
008536-00,Fungizid,Fluopyram,50,g/kg,"",,"",0,7,Respiration,"Resistance known for several fungal species in field populations and lab mutants.Target site mutations in sdh gene, e.g. H/Y (or H/L) at 257, 267, 272 or P225L, dependent on fungal species. Resistance management required. Medium to high risk.See FRAC SDHI Guidelines for resistance management."
026861-00,Fungizid,Tebuconazol,200,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
026861-00,Fungizid,Fluopyram,200,g/l,"",,"",0,7,Respiration,"Resistance known for several fungal species in field populations and lab mutants.Target site mutations in sdh gene, e.g. H/Y (or H/L) at 257, 267, 272 or P225L, dependent on fungal species. Resistance management required. Medium to high risk.See FRAC SDHI Guidelines for resistance management."
008479-00,Fungizid,Spiroxamine,200,g/l,"",,"",0,5,Sterol biosynthesis in membranes,Decreased sensitivity for powdery mildews. Cross-resistance within the group generally found but not to other SBI classes.Low to medium risk. See FRAC SBI Guidelines for resistance management.
008479-00,Fungizid,Fluopyram,75,g/l,"",,"",0,7,Respiration,"Resistance known for several fungal species in field populations and lab mutants.Target site mutations in sdh gene, e.g. H/Y (or H/L) at 257, 267, 272 or P225L, dependent on fungal species. Resistance management required. Medium to high risk.See FRAC SDHI Guidelines for resistance management."
007214-00,Fungizid,Trifloxystrobin,250,g/l,"",,"",0,11,Respiration,"Resistance known in various fungal species. Target site mutations in cyt b gene (G143A, F129L) and additional mechanisms._x000D_
_x000D_
Cross resistance shown between all members of the Code 11 fungicides._x000D_
_x000D_
High risk. See FRAC QoI Guidelines for resistance management."
007214-00,Fungizid,Fluopyram,250,g/l,"",,"",0,7,Respiration,"Resistance known for several fungal species in field populations and lab mutants.Target site mutations in sdh gene, e.g. H/Y (or H/L) at 257, 267, 272 or P225L, dependent on fungal species. Resistance management required. Medium to high risk.See FRAC SDHI Guidelines for resistance management."
025662-65,Fungizid,Tebuconazol,125,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
025662-65,Fungizid,Prothioconazol,125,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
00A935-00,Fungizid,Difenoconazol,125,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
00A935-00,Fungizid,Prothioconazol,175,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
007026-00,Fungizid,Tebuconazol,250,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
007026-00,Fungizid,Difenoconazol,100,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
005177-00,Fungizid,Captan,800,g/kg,"",,"",0,M04,Chemicals with multi-site activity,Generally considered as a low risk group without any signs of resistance developing to the fungicides
00B047-60,Fungizid,Cymoxanil,600,g/kg,"",,"",0,27,Unknown mode of action,Resistance claims described. Low to medium risk. Resistance management required.
024353-61,Fungizid,Difenoconazol,250,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
00A942-00,Fungizid,Azoxystrobin,200,g/l,"",,"",0,11,Respiration,"Resistance known in various fungal species. Target site mutations in cyt b gene (G143A, F129L) and additional mechanisms._x000D_
_x000D_
Cross resistance shown between all members of the Code 11 fungicides._x000D_
_x000D_
High risk. See FRAC QoI Guidelines for resistance management."
00A942-00,Fungizid,Prothioconazol,150,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
034676-00,Fungizid,Fludioxonil,25,g/l,"",,"",0,12,Signal transduction,"Resistance found sporadically, mechanism speculative. Low to medium risk. Resistance management required."
034676-00,Fungizid,Metalaxyl-M,9.69,g/l,"",,"",0,4,Nucleic acids metabolism,Resistance and cross resistance well known in various Oomycetes but mechanism unknown. High risk. See FRAC Phenylamide Guidelines for resistance management
008516-00,Fungizid,Fludioxonil,480,g/l,"",,"",0,12,Signal transduction,"Resistance found sporadically, mechanism speculative. Low to medium risk. Resistance management required."
00B152-00,Fungizid,Folpet,500,g/l,"",,"",0,M04,Chemicals with multi-site activity,Generally considered as a low risk group without any signs of resistance developing to the fungicides
008105-00,Fungizid,Fludioxonil,125,g/l,"",,"",0,12,Signal transduction,"Resistance found sporadically, mechanism speculative. Low to medium risk. Resistance management required."
050498-64,Fungizid,Schwefel,800,g/kg,"",,"",0,,,
025215-00,Fungizid,Folpet,563,g/kg,"",,"",0,M04,Chemicals with multi-site activity,Generally considered as a low risk group without any signs of resistance developing to the fungicides
025215-00,Fungizid,Iprovalicarb,90,g/kg,"",,"",0,40,Cell wall biosynthesis,Resistance known in Plasmopara viticola but not in Phytophthora infestans. Cross-resistance between all members of the CAA group. Low to medium risk. See FRAC CAA Guidelines for resistance management
024519-00,Fungizid,Captan,800,g/kg,"",,"",0,M04,Chemicals with multi-site activity,Generally considered as a low risk group without any signs of resistance developing to the fungicides
008656-00,Fungizid,Captan,360,g/l,"",,"",0,M04,Chemicals with multi-site activity,Generally considered as a low risk group without any signs of resistance developing to the fungicides
008656-00,Fungizid,Kaliumphosphonat (Kaliumphosphit),657,g/l,"",,"",0,,,
00A941-00,Fungizid,Thymol,66,g/l,"",,"",0,,,
00A941-00,Fungizid,Eugenol,33,g/l,"",,"",0,,,
00A941-00,Fungizid,Geraniol,66,g/l,"",,"",0,,,
024348-00,Fungizid,Schwefel,800,g/kg,"",,"",0,,,
050498-65,Fungizid,Schwefel,800,g/kg,"",,"",0,,,
008467-00,Fungizid,Schwefel,800,g/kg,"",,"",0,,,
008113-00,Fungizid,Cyazofamid,25,g/l,"",,"",0,21,Respiration,Resistance risk unknown but assumed to be medium to high (mutations at target site known in model organisms). Resistance management required.
008113-00,Fungizid,Dinatriumphosphonat,250,g/l,"",,"",0,,,
025625-63,Fungizid,Spiroxamine,300,g/l,"",,"",0,5,Sterol biosynthesis in membranes,Decreased sensitivity for powdery mildews. Cross-resistance within the group generally found but not to other SBI classes.Low to medium risk. See FRAC SBI Guidelines for resistance management.
025625-63,Fungizid,Prothioconazol,160,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
025090-60,Fungizid,Azoxystrobin,250,g/l,"",,"",0,11,Respiration,"Resistance known in various fungal species. Target site mutations in cyt b gene (G143A, F129L) and additional mechanisms._x000D_
_x000D_
Cross resistance shown between all members of the Code 11 fungicides._x000D_
_x000D_
High risk. See FRAC QoI Guidelines for resistance management."
024256-61,Fungizid,Folpet,500,g/l,"",,"",0,M04,Chemicals with multi-site activity,Generally considered as a low risk group without any signs of resistance developing to the fungicides
00A547-00,Fungizid,Pyraclostrobin,200,g/l,"",,"",0,11,Respiration,"Resistance known in various fungal species. Target site mutations in cyt b gene (G143A, F129L) and additional mechanisms._x000D_
_x000D_
Cross resistance shown between all members of the Code 11 fungicides._x000D_
_x000D_
High risk. See FRAC QoI Guidelines for resistance management."
00A547-00,Fungizid,Fluxapyroxad,30,g/l,"",,"",0,7,Respiration,"Resistance known for several fungal species in field populations and lab mutants.Target site mutations in sdh gene, e.g. H/Y (or H/L) at 257, 267, 272 or P225L, dependent on fungal species. Resistance management required. Medium to high risk.See FRAC SDHI Guidelines for resistance management."
00A560-00,Fungizid,Flutolanil,460,g/l,"",,"",0,7,Respiration,"Resistance known for several fungal species in field populations and lab mutants.Target site mutations in sdh gene, e.g. H/Y (or H/L) at 257, 267, 272 or P225L, dependent on fungal species. Resistance management required. Medium to high risk.See FRAC SDHI Guidelines for resistance management."
00B152-60,Fungizid,Folpet,500,g/l,"",,"",0,M04,Chemicals with multi-site activity,Generally considered as a low risk group without any signs of resistance developing to the fungicides
024256-63,Fungizid,Folpet,500,g/l,"",,"",0,M04,Chemicals with multi-site activity,Generally considered as a low risk group without any signs of resistance developing to the fungicides
007032-00,Fungizid,Fluazinam,500,g/l,"",,"",0,29,Respiration,"dinitrophenyl crotonates: Resistance not known. Also acaricidal activity._x000D_
2,6-dinitro-anilines: Low risk. However, resistance claimed in Botrytis in Japan."
008025-00,Fungizid,Difenoconazol,250,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
00A644-00,Fungizid,Difenoconazol,500,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
00B282-00,Fungizid,Natriumhydrogencarbonat,989.9,g/kg,"",,"",0,,,
00B110-00,Fungizid,Prothioconazol,100,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
00B110-00,Fungizid,Mefentrifluconazole,50,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
050006-00,Fungizid,Schwefel,796,g/kg,"",,"",0,,,
050006-60,Fungizid,Schwefel,796,g/kg,"",,"",0,,,
00A281-00,Fungizid,Bupirimat,250,g/l,"",,"",0,8,Nucleic acids metabolism,Resistance and cross resistance known in powdery mildews. Medium risk. Resistance management required.
034092-60,Fungizid,Fluazinam,500,g/l,"",,"",0,29,Respiration,"dinitrophenyl crotonates: Resistance not known. Also acaricidal activity._x000D_
2,6-dinitro-anilines: Low risk. However, resistance claimed in Botrytis in Japan."
008113-60,Fungizid,Cyazofamid,25,g/l,"",,"",0,21,Respiration,Resistance risk unknown but assumed to be medium to high (mutations at target site known in model organisms). Resistance management required.
008113-60,Fungizid,Dinatriumphosphonat,250,g/l,"",,"",0,,,
025287-65,Fungizid,Prothioconazol,250,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
008464-60,Fungizid,Propamocarb,607,g/l,Hydrochlorid,722,g/l,0,28,Lipid synthesis or transport / membrane integrity or function,Low to medium risk. Resistance management required.
008541-60,Fungizid,Cymoxanil,50,g/l,"",,"",0,27,Unknown mode of action,Resistance claims described. Low to medium risk. Resistance management required.
008541-60,Fungizid,Propamocarb,335.2,g/l,Hydrochlorid,400,g/l,0,28,Lipid synthesis or transport / membrane integrity or function,Low to medium risk. Resistance management required.
00B087-61,Fungizid,Pyraclostrobin,200,g/l,"",,"",0,11,Respiration,"Resistance known in various fungal species. Target site mutations in cyt b gene (G143A, F129L) and additional mechanisms._x000D_
_x000D_
Cross resistance shown between all members of the Code 11 fungicides._x000D_
_x000D_
High risk. See FRAC QoI Guidelines for resistance management."
006341-00,Fungizid,Tebuconazol,200,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
008945-60,Fungizid,Oxathiapiprolin,100,g/l,"",,"",0,49,Lipid synthesis or transport / membrane integrity or function,Resistance risk assumed to be medium to high (single site inhibitor). Resistance management required. (Previously U15).
00A973-00,Fungizid,Azoxystrobin,250,g/l,"",,"",0,11,Respiration,"Resistance known in various fungal species. Target site mutations in cyt b gene (G143A, F129L) and additional mechanisms._x000D_
_x000D_
Cross resistance shown between all members of the Code 11 fungicides._x000D_
_x000D_
High risk. See FRAC QoI Guidelines for resistance management."
00A973-00,Fungizid,Oxathiapiprolin,12,g/l,"",,"",0,49,Lipid synthesis or transport / membrane integrity or function,Resistance risk assumed to be medium to high (single site inhibitor). Resistance management required. (Previously U15).
00B299-00,Fungizid,Amisulbrom,140,g/l,"",,"",0,21,Respiration,Resistance risk unknown but assumed to be medium to high (mutations at target site known in model organisms). Resistance management required.
00B299-00,Fungizid,Oxathiapiprolin,40,g/l,"",,"",0,49,Lipid synthesis or transport / membrane integrity or function,Resistance risk assumed to be medium to high (single site inhibitor). Resistance management required. (Previously U15).
00A426-00,Fungizid,Oxathiapiprolin,100,g/l,"",,"",0,49,Lipid synthesis or transport / membrane integrity or function,Resistance risk assumed to be medium to high (single site inhibitor). Resistance management required. (Previously U15).
005177-60,Fungizid,Captan,800,g/kg,"",,"",0,M04,Chemicals with multi-site activity,Generally considered as a low risk group without any signs of resistance developing to the fungicides
034560-00,Fungizid,Azoxystrobin,250,g/l,"",,"",0,11,Respiration,"Resistance known in various fungal species. Target site mutations in cyt b gene (G143A, F129L) and additional mechanisms._x000D_
_x000D_
Cross resistance shown between all members of the Code 11 fungicides._x000D_
_x000D_
High risk. See FRAC QoI Guidelines for resistance management."
00A894-60,Fungizid,Azoxystrobin,250,g/l,"",,"",0,11,Respiration,"Resistance known in various fungal species. Target site mutations in cyt b gene (G143A, F129L) and additional mechanisms._x000D_
_x000D_
Cross resistance shown between all members of the Code 11 fungicides._x000D_
_x000D_
High risk. See FRAC QoI Guidelines for resistance management."
00B003-00,Fungizid,Azoxystrobin,250,g/l,"",,"",0,11,Respiration,"Resistance known in various fungal species. Target site mutations in cyt b gene (G143A, F129L) and additional mechanisms._x000D_
_x000D_
Cross resistance shown between all members of the Code 11 fungicides._x000D_
_x000D_
High risk. See FRAC QoI Guidelines for resistance management."
00B226-00,Fungizid,Spiroxamine,300,g/l,"",,"",0,5,Sterol biosynthesis in membranes,Decreased sensitivity for powdery mildews. Cross-resistance within the group generally found but not to other SBI classes.Low to medium risk. See FRAC SBI Guidelines for resistance management.
00B226-00,Fungizid,Prothioconazol,160,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
00A902-00,Fungizid,Metconazol,90,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
00A902-00,Fungizid,Prothioconazol,250,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
00B242-00,Fungizid,Azoxystrobin,250,g/l,"",,"",0,11,Respiration,"Resistance known in various fungal species. Target site mutations in cyt b gene (G143A, F129L) and additional mechanisms._x000D_
_x000D_
Cross resistance shown between all members of the Code 11 fungicides._x000D_
_x000D_
High risk. See FRAC QoI Guidelines for resistance management."
00A497-62,Fungizid,Prothioconazol,250,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
00A271-61,Fungizid,Prothioconazol,300,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
00A657-65,Fungizid,Prothioconazol,250,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
00B254-00,Fungizid,Prothioconazol,250,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
00A469-60,Fungizid,Prothioconazol,250,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
00A271-60,Fungizid,Prothioconazol,300,g/l,"",,"",0,3,Sterol biosynthesis in membranes,"There are big differences in the activity spectra of DMI fungicides. Resistance is known in various fungal species. Several resistance mechanisms are known incl. target site mutations in cyp51 (erg 11) gene, e.g. V136A, Y137F, A379G, I381V; cyp51 promotor; ABC transporters and others. Generally wise to accept that cross-resistance is present between DMI fungicides active against the same fungus. DMI fungicides are Sterol Biosynthesis Inhibitors (SBIs), but show no cross resistance to other SBI classes. Medium risk. See FRAC SBI Guidelines for resistance management."
008923-00,Fungizid,Pyrimethanil,400,g/l,"",,"",0,9,Amino acids and protein synthesis,"Resistance known in Botrytis and Venturia, sporadically in Oculimacula .Medium risk. See FRAC Anilinopyrimidine Guidelines for resistance management."
00A908-00,Fungizid,Folpet,400,g/kg,"",,"",0,M04,Chemicals with multi-site activity,Generally considered as a low risk group without any signs of resistance developing to the fungicides
00A908-00,Fungizid,Mandipropamid,50,g/kg,"",,"",0,40,Cell wall biosynthesis,Resistance known in Plasmopara viticola but not in Phytophthora infestans. Cross-resistance between all members of the CAA group. Low to medium risk. See FRAC CAA Guidelines for resistance management
00A840-00,Fungizid,Mandipropamid,200,g/l,"",,"",0,40,Cell wall biosynthesis,Resistance known in Plasmopara viticola but not in Phytophthora infestans. Cross-resistance between all members of the CAA group. Low to medium risk. See FRAC CAA Guidelines for resistance management
00A840-00,Fungizid,Amisulbrom,100,g/l,"",,"",0,21,Respiration,Resistance risk unknown but assumed to be medium to high (mutations at target site known in model organisms). Resistance management required.
