Zulassungsnr,Wirkungsbereich,Wirkstoff_Main,Gehalt_Main,Einhalt_Main,Wirkstoff_Compound,Gehalt_Compound,Einhalt_Compound,Organismus_Bakteria
027086-00,Molluskizid,Eisen-III-phosphat,29.7,g/kg,,,,0
005747-67,Herbizid,"2,4-D",70,g/l,Dimethylamin-Salz,84.3,g/l,0
005747-67,Herbizid,MCPA,70,g/l,Dimethylamin-Salz,85.7,g/l,0
005747-67,Herbizid,Dicamba,20,g/l,Dimethylamin-Salz,24.1,g/l,0
005747-67,Herbizid,Mecoprop-P,42,g/l,Dimethylamin-Salz,50.8,g/l,0
050425-60,"Repellent, Wildschadenverhütungsmittel",Calciumcarbid,800,g/kg,,,,0
033366-61,Rodentizid,Zinkphosphid,24,g/kg,,,,0
052569-00,Insektizid,Aluminiumphosphid,560,g/kg,,,,0
050783-60,Insektizid,Aluminiumphosphid,560,g/kg,,,,0
033944-60,Insektizid,Magnesiumphosphid,660,g/kg,,,,0
00A126-00,Herbizid,Metamitron,700,g/l,,,,0
025584-00,Fungizid,Imazalil,100,g/l,Sulfat,133,g/l,0
00A282-60,Fungizid,Fluxapyroxad,50,g/l,,,,0
00A282-60,Fungizid,Mefentrifluconazole,100,g/l,,,,0
008745-60,Fungizid,Azoxystrobin,250,g/l,,,,0
00B023-60,Fungizid,Azoxystrobin,250,g/l,,,,0
008288-60,Herbizid,Dicamba,480,g/l,Dimethylamin-Salz,577.9,g/l,0
00A945-60,Herbizid,MCPA,161,g/l,Kalium/Natrium-Salz,184.09,g/l,0
00A945-60,Herbizid,Dicamba,17.8,g/l,Natrium-Salz,19.57,g/l,0
008288-00,Herbizid,Dicamba,480,g/l,Dimethylamin-Salz,577.9,g/l,0
00A862-00,Herbizid,Fluroxypyr,200,g/l,1-Methyl-heptylester,286.5,g/l,0
060939-62,Herbizid,MCPA,500,g/l,Dimethylamin-Salz,612.35,g/l,0
005747-00,Herbizid,"2,4-D",70,g/l,Dimethylamin-Salz,84.3,g/l,0
005747-00,Herbizid,MCPA,70,g/l,Dimethylamin-Salz,85.7,g/l,0
005747-00,Herbizid,Dicamba,20,g/l,Dimethylamin-Salz,24.1,g/l,0
005747-00,Herbizid,Mecoprop-P,42,g/l,Dimethylamin-Salz,50.8,g/l,0
005747-63,Herbizid,"2,4-D",70,g/l,Dimethylamin-Salz,84.3,g/l,0
005747-63,Herbizid,MCPA,70,g/l,Dimethylamin-Salz,85.7,g/l,0
005747-63,Herbizid,Dicamba,20,g/l,Dimethylamin-Salz,24.1,g/l,0
005747-63,Herbizid,Mecoprop-P,42,g/l,Dimethylamin-Salz,50.8,g/l,0
00A653-00,Fungizid,Difenoconazol,125,g/l,,,,0
00A653-00,Fungizid,Azoxystrobin,200,g/l,,,,0
007421-00,Fungizid,Difenoconazol,250,g/l,,,,0
008125-00,Fungizid,Difenoconazol,25,g/l,,,,0
008125-00,Fungizid,Fludioxonil,25,g/l,,,,0
005985-00,Herbizid,Diflufenican,500,g/l,,,,0
008377-00,Fungizid,Difenoconazol,250,g/l,,,,0
008498-00,Fungizid,Folpet,400,g/l,,,,0
008498-00,Fungizid,Difenoconazol,10.7,g/l,,,,0
008386-00,Herbizid,Quizalofop-P-ethyl,108,g/l,,,,0
034060-61,Herbizid,Quizalofop-P,46.3,g/l,Ethylester,50,g/l,0
008323-00,Herbizid,Dicamba,400,g/kg,,,,0
008323-00,Herbizid,Prosulfuron,40,g/kg,,,,0
008323-00,Herbizid,Nicosulfuron,100,g/kg,,,,0
007475-60,Fungizid,Pyriofenone,180,g/l,,,,0
00A304-00,Insektizid,Bacillus thuringiensis subspecies kurstaki Stamm ABTS-351 (Stamm HD-1) 11.700.000.000.000cfu/kg,540,g/kg,,,,1
024080-00,Insektizid,"Bacillus thuringiensis subspecies kurstaki Stamm ABTS-351 (Stamm HD-1) (33,2 g/l Grundkörper) 17.600IU/mg",33.2,g/l,,,,1
008400-60,Herbizid,Flufenacet,480,g/l,,,,0
00B258-00,Herbizid,Florasulam,50,g/l,,,,0
006228-00,Herbizid,Metsulfuron,137.16,g/kg,Methylester,142.8,g/kg,0
006228-00,Herbizid,Tribenuron,137.566,g/kg,Methylester,143,g/kg,0
006220-64,Herbizid,Propyzamid,400,g/l,,,,0
006427-61,Herbizid,Tribenuron,723.4,g/kg,Methylester,750,g/kg,0
026427-61,Herbizid,Tribenuron,723.4,g/kg,Methylester,750,g/kg,0
00B092-00,Fungizid,Dithianon,700,g/kg,,,,0
00A841-00,Fungizid,Dithianon,700,g/kg,,,,0
00A317-00,Fungizid,Difenoconazol,250,g/l,,,,0
007454-61,Fungizid,Tebuconazol,107,g/l,,,,0
007454-61,Fungizid,Bromuconazol,167,g/l,,,,0
00A758-00,Fungizid,Dodin,400,g/l,,,,0
00A455-60,Molluskizid,Eisen-III-phosphat,29.87,g/kg,Dihydrat,37,g/kg,0
00A452-60,Molluskizid,Eisen-III-phosphat,9.79,g/kg,Dihydrat,12.5,g/kg,0
00B187-60,Fungizid,Folpet,500,g/l,,,,0
004329-00,Fungizid,Tetraconazole,100,g/l,,,,0
026923-00,Herbizid,Glyphosat,480,g/l,Dimethylamin-Salz,608,g/l,0
00B290-60,Sonstige,Prothioconazol,100,g/l,,,,0
034210-64,"Akarizid, Insektizid",Fettsäure-Kaliumsalze (Kali-Seife),10.2,g/l,,,,0
024785-68,Insektizid,Pyrethrine,0.05,g/l,,,,0
024785-68,Insektizid,Rapsöl,8.25,g/l,,,,0
024646-62,Herbizid,Pelargonsäure,31.02,g/l,Grundkörper,34.4,g/l,0
00A802-00,Herbizid,Thifensulfuron,89.25,g/kg,Methylester,92.6,g/kg,0
00A802-00,Herbizid,Rimsulfuron,148.15,g/kg,,,,0
00A802-00,Herbizid,Isoxadifen,100.57,g/kg,Ethylester,111.11,g/kg,0
008837-61,Fungizid,Kaliumphosphonat (Kaliumphosphit),726,g/l,,,,0
025078-62,Herbizid,Pethoxamid,600,g/l,,,,0
006396-61,Herbizid,MCPA,200,g/l,,,,0
006396-61,Herbizid,Clopyralid,20,g/l,,,,0
006396-61,Herbizid,Fluroxypyr,40,g/l,1-Methyl-heptylester,57.64,g/l,0
006300-61,Fungizid,Difenoconazol,16.7,g/l,,,,0
006299-00,Fungizid,Difenoconazol,0.167,g/l,,,,0
006300-60,Fungizid,Difenoconazol,16.7,g/l,,,,0
006300-00,Fungizid,Difenoconazol,16.7,g/l,,,,0
008698-60,Herbizid,Nicosulfuron,40,g/l,,,,0
043729-00,Herbizid,Dichlorprop-P,600,g/l,Kalium-Salz,696.558,g/l,0
053678-00,Herbizid,Mecoprop-P,600,g/l,Kalium-Salz,706,g/l,0
00A021-00,Herbizid,MCPA,160,g/l,,,,0
00A021-00,Herbizid,Dichlorprop-P,310,g/l,,,,0
00A021-00,Herbizid,Mecoprop-P,130,g/l,,,,0
044044-61,Herbizid,Glyphosat,360,g/l,Isopropylamin-Salz,485.39,g/l,0
00A164-00,Herbizid,Glyphosat,360,g/l,Kalium-Salz,441,g/l,0
00A452-00,Molluskizid,Eisen-III-phosphat,9.79,g/kg,Dihydrat,12.5,g/kg,0
00A455-00,Molluskizid,Eisen-III-phosphat,29.87,g/kg,Dihydrat,37,g/kg,0
008716-00,Fungizid,Verticillium albo-atrum Stamm WCS850 10.000.000.000cfu/l,10.7,g/l,,,,1
007501-00,Fungizid,Difenoconazol,60,g/l,,,,0
007501-00,Fungizid,Cyflufenamid,30,g/l,,,,0
00A550-00,Fungizid,Dithianon,700,g/kg,,,,0
025287-64,Fungizid,Prothioconazol,250,g/l,,,,0
00A649-00,Herbizid,Aclonifen,600,g/l,,,,0
005866-00,Herbizid,Picloram,67,g/l,,,,0
005866-00,Herbizid,Clopyralid,267,g/l,,,,0
007024-00,"Fungizid, Wachstumsregler",Metconazol,60,g/l,,,,0
007024-00,"Fungizid, Wachstumsregler",Boscalid,133,g/l,,,,0
00B058-00,Fungizid,Azoxystrobin,100,g/l,,,,0
00B058-00,Fungizid,Mefentrifluconazole,66.67,g/l,,,,0
008406-00,Fungizid,Prothioconazol,150,g/l,,,,0
008406-00,Fungizid,Benzovindiflupyr,75,g/l,,,,0
008405-00,Fungizid,Benzovindiflupyr,100,g/l,,,,0
00A411-00,Herbizid,Quizalofop-P-ethyl,50,g/l,,,,0
008837-62,Fungizid,Kaliumphosphonat (Kaliumphosphit),726,g/l,,,,0
006960-00,Herbizid,Nicosulfuron,30,g/l,,,,0
006960-00,Herbizid,Mesotrione,75,g/l,,,,0
00A322-00,Herbizid,MCPA,750,g/l,Dimethylamin-Salz,918.5,g/l,0
004329-60,Fungizid,Tetraconazole,100,g/l,,,,0
004329-61,Fungizid,Tetraconazole,100,g/l,,,,0
008674-00,Fungizid,Tetraconazole,125,g/l,,,,0
035203-60,Fungizid,Kresoxim-methyl,100,g/l,,,,0
035203-60,Fungizid,Boscalid,200,g/l,,,,0
00B230-00,Herbizid,Metazachlor,500,g/l,,,,0
008966-00,Fungizid,Ametoctradin,200,g/l,,,,0
00A440-00,Fungizid,Boscalid,500,g/l,,,,0
008141-00,"Repellent, Wildschadenverhütungsmittel",Fischöl,28.5,g/kg,,,,0
028141-00,"Repellent, Wildschadenverhütungsmittel",Fischöl,30,g/l,,,,0
007201-61,Herbizid,Diflufenican,360,g/kg,,,,0
007201-61,Herbizid,Iodosulfuron,9.32,g/kg,Methylester-Na,10,g/kg,0
00A267-62,Fungizid,Prothioconazol,300,g/l,,,,0
00A156-00,Insektizid,Maltodextrin,573.89,g/l,,,,0
00A541-00,Insektizid,Maltodextrin,433.2,g/l,,,,0
008986-00,Insektizid,lambda-Cyhalothrin,4,g/kg,,,,0
006858-00,Herbizid,Metsulfuron,65.5,g/kg,Methylester,68,g/kg,0
006858-00,Herbizid,Thifensulfuron,657.4,g/kg,Methylester,682,g/kg,0
00A593-00,Fungizid,Pyrimethanil,400,g/l,,,,0
00A818-00,Herbizid,Ethofumesat,500,g/l,,,,0
00B203-00,Wachstumsregler,Ethylen,900,g/kg,,,,0
027206-00,Wachstumsregler,1-Methylcyclopropen,6.3,g/kg,,,,0
027206-60,Wachstumsregler,1-Methylcyclopropen,6.3,g/kg,,,,0
008488-00,Wachstumsregler,Ethylen,"1,000",g/kg,,,,0
024646-65,Herbizid,Pelargonsäure,31.02,g/l,Grundkörper,34.4,g/l,0
024645-68,Herbizid,Pelargonsäure,186.7,g/l,Ammonium-Salz,206.8,g/l,0
008201-60,Molluskizid,Eisen-III-phosphat,25,g/kg,,,,0
005747-65,Herbizid,"2,4-D",70,g/l,Dimethylamin-Salz,84.3,g/l,0
005747-65,Herbizid,MCPA,70,g/l,Dimethylamin-Salz,85.7,g/l,0
005747-65,Herbizid,Dicamba,20,g/l,Dimethylamin-Salz,24.1,g/l,0
005747-65,Herbizid,Mecoprop-P,42,g/l,Dimethylamin-Salz,50.8,g/l,0
006867-61,Fungizid,Tebuconazol,0.125,g/l,,,,0
006867-61,Fungizid,Trifloxystrobin,0.125,g/l,,,,0
007626-60,Fungizid,Tebuconazol,25,g/l,,,,0
024436-77,Insektizid,Azadirachtin,10.6,g/l,,,,0
006788-64,Insektizid,Deltamethrin,0.008,g/l,,,,0
008201-62,Molluskizid,Eisen-III-phosphat,25,g/kg,,,,0
00A065-60,Fungizid,Azoxystrobin,250,g/l,,,,0
024646-66,Herbizid,Pelargonsäure,31.02,g/l,Grundkörper,34.4,g/l,0
024645-70,Herbizid,Pelargonsäure,186.7,g/l,Ammonium-Salz,206.8,g/l,0
008047-64,Herbizid,Eisen-II-sulfat,163,g/kg,Monohydrat,182,g/kg,0
060122-91,Herbizid,"2,4-D",8,g/kg,,,,0
060122-91,Herbizid,Dicamba,1.2,g/kg,,,,0
060122-64,Herbizid,"2,4-D",8,g/kg,,,,0
060122-64,Herbizid,Dicamba,1.2,g/kg,,,,0
00A699-00,Fungizid,Prothioconazol,250,g/l,,,,0
00A657-64,Fungizid,Prothioconazol,250,g/l,,,,0
00A895-00,Fungizid,Prothioconazol,250,g/l,,,,0
008532-60,Herbizid,Clomazone,360,g/l,,,,0
008465-00,Fungizid,Tebuconazol,250,g/l,,,,0
008465-00,Fungizid,Fluoxastrobin,180,g/l,,,,0
008660-00,Herbizid,Clethodim,140,g/l,,,,0
008660-00,Herbizid,Quizalofop-P-ethyl,70,g/l,,,,0
024218-60,Insektizid,tau-Fluvalinat,240,g/l,,,,0
00A620-00,Fungizid,Prothioconazol,250,g/l,,,,0
007486-00,Herbizid,Glyphosat,619,g/kg,Ammonium-Salz,681.2,g/kg,0
007524-00,Wachstumsregler,6-Benzyladenin,20,g/l,,,,0
008809-00,Wachstumsregler,6-Benzyladenin,100,g/l,,,,0
00A670-00,Insektizid,Cyantraniliprole,100,g/l,,,,0
00A766-00,"Akarizid, Insektizid",Pyrethrine,7,g/l,,,,0
00A766-00,"Akarizid, Insektizid",Rapsöl,700,g/l,,,,0
00A846-61,Herbizid,Essigsäure,60,g/l,,,,0
028376-00,Fungizid,Trifloxystrobin,12.5,g/l,,,,0
028376-00,Fungizid,Fluopyram,12.5,g/l,,,,0
008380-00,Fungizid,Dithianon,250,g/l,,,,0
008380-00,Fungizid,Pyrimethanil,250,g/l,,,,0
008998-00,Wachstumsregler,Prohexadion,42.4,g/l,Calcium-Salz,50,g/l,0
00A083-00,Herbizid,Prosulfocarb,800,g/l,,,,0
008038-60,Wachstumsregler,Gibberellinsäure,186.5,g/kg,,,,0
026330-00,Herbizid,Diflufenican,100,g/l,,,,0
026330-00,Herbizid,Penoxsulam,15,g/l,,,,0
00B237-00,Insektizid,Tefluthrin,200,g/l,,,,0
025315-00,Fungizid,Fluoxastrobin,100,g/l,,,,0
025315-00,Fungizid,Prothioconazol,100,g/l,,,,0
00A504-00,Herbizid,Prosulfocarb,800,g/l,,,,0
00B031-00,Herbizid,Prosulfocarb,800,g/l,,,,0
026260-00,Fungizid,Folpet,480,g/kg,,,,0
026260-00,Fungizid,Benalaxyl-M,37.5,g/kg,,,,0
026865-00,Wachstumsregler,Maleinsäurehydrazid,600,g/kg,Kalium-Salz,804,g/kg,0
00B139-00,Wachstumsregler,Maleinsäurehydrazid,270.2,g/l,Kalium-Salz,362,g/l,0
008838-00,Fungizid,Kaliumphosphonat (Kaliumphosphit),726,g/l,,,,0
008837-00,Fungizid,Kaliumphosphonat (Kaliumphosphit),726,g/l,,,,0
008632-00,Fungizid,Kaliumphosphonat (Kaliumphosphit),726,g/l,,,,0
008400-00,Herbizid,Flufenacet,480,g/l,,,,0
034496-00,Molluskizid,Eisen-III-phosphat,9.9,g/kg,,,,0
025956-60,Molluskizid,Eisen-III-phosphat,9.9,g/kg,,,,0
027744-60,Molluskizid,Eisen-III-phosphat,19.8,g/kg,,,,0
008201-00,Molluskizid,Eisen-III-phosphat,25,g/kg,,,,0
00A133-00,Molluskizid,Eisen-III-phosphat,8.1,g/kg,Dihydrat,10,g/kg,0
006400-00,Fungizid,Tebuconazol,250,g/l,,,,0
008975-00,Herbizid,Prosulfocarb,800,g/l,,,,0
033838-60,Herbizid,Prosulfocarb,800,g/l,,,,0
024645-61,Herbizid,Pelargonsäure,186.7,g/l,Ammonium-Salz,206.8,g/l,0
006177-60,Herbizid,Maleinsäurehydrazid,4.95,g/l,Kalium-Salz,6.63,g/l,0
006177-60,Herbizid,Pelargonsäure,31.02,g/l,,,,0
006177-61,Herbizid,Maleinsäurehydrazid,4.95,g/l,Kalium-Salz,6.63,g/l,0
006177-61,Herbizid,Pelargonsäure,31.02,g/l,,,,0
024646-00,Herbizid,Pelargonsäure,31.02,g/l,Grundkörper,34.4,g/l,0
006177-00,Herbizid,Maleinsäurehydrazid,4.95,g/l,Kalium-Salz,6.63,g/l,0
006177-00,Herbizid,Pelargonsäure,31.02,g/l,,,,0
024646-63,Herbizid,Pelargonsäure,31.02,g/l,Grundkörper,34.4,g/l,0
006193-65,Herbizid,Maleinsäurehydrazid,30,g/l,Kalium-Salz,40.17,g/l,0
006193-65,Herbizid,Pelargonsäure,186.7,g/l,,,,0
006193-60,Herbizid,Maleinsäurehydrazid,30,g/l,Kalium-Salz,40.17,g/l,0
006193-60,Herbizid,Pelargonsäure,186.7,g/l,,,,0
006193-62,Herbizid,Maleinsäurehydrazid,30,g/l,Kalium-Salz,40.17,g/l,0
006193-62,Herbizid,Pelargonsäure,186.7,g/l,,,,0
006193-00,Herbizid,Maleinsäurehydrazid,30,g/l,Kalium-Salz,40.17,g/l,0
006193-00,Herbizid,Pelargonsäure,186.7,g/l,,,,0
006193-61,Herbizid,Maleinsäurehydrazid,30,g/l,Kalium-Salz,40.17,g/l,0
006193-61,Herbizid,Pelargonsäure,186.7,g/l,,,,0
024645-60,Herbizid,Pelargonsäure,186.7,g/l,Ammonium-Salz,206.8,g/l,0
024645-00,Herbizid,Pelargonsäure,186.7,g/l,Ammonium-Salz,206.8,g/l,0
006193-64,Herbizid,Maleinsäurehydrazid,30,g/l,Kalium-Salz,40.17,g/l,0
006193-64,Herbizid,Pelargonsäure,186.7,g/l,,,,0
024645-66,Herbizid,Pelargonsäure,186.7,g/l,Ammonium-Salz,206.8,g/l,0
024646-60,Herbizid,Pelargonsäure,31.02,g/l,Grundkörper,34.4,g/l,0
007158-00,Herbizid,Metsulfuron,64.2,g/kg,Methylester,66.6,g/kg,0
007158-00,Herbizid,Thifensulfuron,321.4,g/kg,Methylester,333.5,g/kg,0
026298-00,Herbizid,Metsulfuron,192.7,g/kg,Methylester,200,g/kg,0
00B260-00,Molluskizid,Eisen-III-phosphat,9.9,g/kg,,,,0
00B182-00,Fungizid,Prothioconazol,50,g/l,,,,0
00B182-00,Fungizid,Kaliumphosphonat (Kaliumphosphit),735,g/l,,,,0
008263-00,Wachstumsregler,1-Naphthylessigsäure,100,g/l,,,,0
028854-00,Herbizid,Tribenuron,481.03,g/kg,Methylester,500,g/kg,0
028866-00,Herbizid,Tribenuron,241.15,g/kg,Methylester,250,g/kg,0
028866-00,Herbizid,Florasulam,104,g/kg,,,,0
008806-00,Herbizid,Diflufenican,500,g/l,,,,0
008859-60,Herbizid,Flufenacet,500,g/l,,,,0
007797-61,Wachstumsregler,Trinexapac,222.5,g/l,Ethylester,250,g/l,0
043673-00,Herbizid,Isoxaben,500,g/l,,,,0
025311-00,Fungizid,Metrafenone,300,g/l,,,,0
00A489-00,Fungizid,Spiroxamine,300,g/l,,,,0
00A489-00,Fungizid,Prothioconazol,160,g/l,,,,0
00B030-00,Fungizid,Imazalil,38.5,g/l,,,,0
00B030-00,Fungizid,Flutolanil,308,g/l,,,,0
044657-00,Fungizid,Trifloxystrobin,500,g/kg,,,,0
00A283-00,"Akarizid, Insektizid",Fettsäuren (C7 - C20),422,g/l,Kalium-Salz,479.8,g/l,0
00B186-00,Wachstumsregler,6-Benzyladenin,19,g/l,,,,0
00B186-00,Wachstumsregler,Gibberelline (GA4/GA7),19,g/l,,,,0
00B185-00,Wachstumsregler,Ethephon,480,g/l,,,,0
006823-00,Akarizid,Bifenazate,240,g/l,,,,0
060122-79,Herbizid,"2,4-D",8,g/kg,,,,0
060122-79,Herbizid,Dicamba,1.2,g/kg,,,,0
024426-60,Insektizid,Bacillus thuringiensis subspecies aizawai Stamm ABTS-1857 (540 g/kg Grundkörper) 15.000IU/mg,540,g/kg,,,,1
008038-00,Wachstumsregler,Gibberellinsäure,186.5,g/kg,,,,0
00A452-63,Molluskizid,Eisen-III-phosphat,9.79,g/kg,Dihydrat,12.5,g/kg,0
00A455-62,Molluskizid,Eisen-III-phosphat,29.87,g/kg,Dihydrat,37,g/kg,0
024459-60,Fungizid,Folpet,800,g/kg,,,,0
024256-62,Fungizid,Folpet,500,g/l,,,,0
008886-00,Fungizid,Kupferoxychlorid,638,g/l,,,,0
00A501-00,Herbizid,Fluazifop-P,128.05,g/l,Butylester,150,g/l,0
00A024-00,Fungizid,Fluazinam,500.5,g/l,,,,0
008859-00,Herbizid,Flufenacet,500,g/l,,,,0
00A875-00,Herbizid,Fluroxypyr,400,g/l,1-Methyl-heptylester,576,g/l,0
008413-00,Herbizid,Fluroxypyr,100,g/l,1-Methyl-heptylester,144,g/l,0
008413-00,Herbizid,Florasulam,2.5,g/l,,,,0
008981-00,Herbizid,Fluroxypyr,200,g/l,1-Methyl-heptylester,288,g/l,0
006914-00,Herbizid,Fluroxypyr,180,g/l,1-Methyl-heptylester,259,g/l,0
006914-66,Herbizid,Fluroxypyr,180,g/l,1-Methyl-heptylester,259,g/l,0
00A590-62,Herbizid,Fluroxypyr,200,g/l,1-Methyl-heptylester,288.078,g/l,0
008670-60,Herbizid,Fluazifop-P,106.7,g/l,Butylester,125,g/l,0
00B332-00,Herbizid,Mesotrione,480,g/l,,,,0
028124-62,Herbizid,Mesotrione,100,g/l,,,,0
00A797-00,Herbizid,Florasulam,50,g/l,,,,0
033964-00,Herbizid,Cycloxydim,100,g/l,,,,0
00A089-00,Fungizid,Folpet,800,g/kg,,,,0
034028-00,"Fungizid, Wachstumsregler",Tebuconazol,250,g/l,,,,0
008116-00,Herbizid,Fluroxypyr,333,g/l,1-Methyl-heptylester,480,g/l,0
00B040-00,Fungizid,Folpet,400,g/kg,,,,0
00B040-00,Fungizid,Metalaxyl-M,48.5,g/kg,,,,0
024256-00,Fungizid,Folpet,500,g/l,,,,0
024459-00,Fungizid,Folpet,800,g/kg,,,,0
00B275-60,Fungizid,Folpet,800,g/kg,,,,0
00A937-00,Fungizid,Fenpropidin,250,g/l,,,,0
00A937-00,Fungizid,Prothioconazol,175,g/l,,,,0
00A173-00,Insektizid,Bacillus thuringiensis subspecies kurstaki Stamm ABTS-351 (Stamm HD-1) 16.700IU/mg,206.53,g/l,,,,1
034006-00,Insektizid,Tefluthrin,200,g/l,,,,0
043099-61,Fungizid,Fosetyl,746,g/kg,Aluminium-Salz,800,g/kg,0
008838-60,Fungizid,Kaliumphosphonat (Kaliumphosphit),726,g/l,,,,0
024193-00,Herbizid,Bifenox,480,g/l,,,,0
008400-62,Herbizid,Flufenacet,480,g/l,,,,0
008357-62,Herbizid,Mesotrione,100,g/l,,,,0
008670-00,Herbizid,Fluazifop-P,106.7,g/l,Butylester,125,g/l,0
00A442-60,Herbizid,Fluazifop-P,106.742,g/l,Butylester,125,g/l,0
008443-00,Herbizid,Metobromuron,400,g/l,,,,0
024511-00,Insektizid,Phosphan (Phosphorwasserstoff),20.6,g/kg,,,,0
034092-61,Fungizid,Fluazinam,500,g/l,,,,0
00A949-60,Wachstumsregler,1-Methylcyclopropen,33,g/kg,,,,0
007839-60,Fungizid,Kaliumphosphonat (Kaliumphosphit),342,g/l,,,,0
006179-00,Herbizid,Metazachlor,500,g/l,,,,0
007459-00,Herbizid,Metazachlor,375,g/l,,,,0
007459-00,Herbizid,Quinmerac,125,g/l,,,,0
00B116-00,Fungizid,Azoxystrobin,250,g/l,,,,0
034560-63,Fungizid,Azoxystrobin,250,g/l,,,,0
034560-77,Fungizid,Azoxystrobin,250,g/l,,,,0
034560-69,Fungizid,Azoxystrobin,250,g/l,,,,0
034560-61,Fungizid,Azoxystrobin,250,g/l,,,,0
00B373-00,Fungizid,Bacillus subtilis Stamm IAB/BS03 100.000.000.000cfu/l,10,g/l,,,,1
006896-00,Fungizid,Kupferhydroxid,537,g/kg,,,,0
00A085-00,"Bakterizid, Fungizid",Kupferhydroxid,767.7,g/kg,,,,0
024847-00,Herbizid,Fluazifop-P,107,g/l,Butylester,125,g/l,0
006366-60,Herbizid,Metsulfuron,57.8,g/kg,Methylester,60,g/kg,0
006366-60,Herbizid,Diflufenican,600,g/kg,,,,0
060122-78,Herbizid,"2,4-D",8,g/kg,,,,0
060122-78,Herbizid,Dicamba,1.2,g/kg,,,,0
028272-00,Wachstumsregler,1-Methylcyclopropen,980,g/kg,,,,0
00A259-00,Fungizid,COS-OGA,12.5,g/l,,,,0
00A565-00,Fungizid,COS-OGA,12.5,g/l,,,,0
026282-60,Fungizid,Amisulbrom,200,g/l,,,,0
00A077-00,Fungizid,Fluazinam,60,g/l,,,,0
00A077-00,Fungizid,Kaliumphosphonat (Kaliumphosphit),629,g/l,,,,0
008943-00,Herbizid,Picloram,8,g/l,,,,0
008943-00,Herbizid,Pethoxamid,400,g/l,,,,0
008772-60,Herbizid,Picloram,67,g/l,Monoethanolamin-Salz,84,g/l,0
008772-60,Herbizid,Clopyralid,267,g/l,Monoethanolamin-Salz,352,g/l,0
006914-60,Herbizid,Fluroxypyr,180,g/l,1-Methyl-heptylester,259,g/l,0
007466-00,Fungizid,Tetraconazole,40,g/l,,,,0
00B290-00,Sonstige,Prothioconazol,100,g/l,,,,0
024798-60,Herbizid,Clomazone,360,g/l,,,,0
00A145-60,Fungizid,Bromuconazol,300,g/l,,,,0
060122-74,Herbizid,"2,4-D",8,g/kg,,,,0
060122-74,Herbizid,Dicamba,1.2,g/kg,,,,0
008047-63,Herbizid,Eisen-II-sulfat,163,g/kg,Monohydrat,182,g/kg,0
007003-60,Herbizid,Triclopyr,150,g/l,Butoxyethylester,209,g/l,0
007003-60,Herbizid,Fluroxypyr,150,g/l,1-Methyl-heptylester,216,g/l,0
005747-64,Herbizid,"2,4-D",70,g/l,Dimethylamin-Salz,84.3,g/l,0
005747-64,Herbizid,MCPA,70,g/l,Dimethylamin-Salz,85.7,g/l,0
005747-64,Herbizid,Dicamba,20,g/l,Dimethylamin-Salz,24.1,g/l,0
005747-64,Herbizid,Mecoprop-P,42,g/l,Dimethylamin-Salz,50.8,g/l,0
008047-68,Herbizid,Eisen-II-sulfat,163,g/kg,Monohydrat,182,g/kg,0
060122-66,Herbizid,"2,4-D",8,g/kg,,,,0
060122-66,Herbizid,Dicamba,1.2,g/kg,,,,0
060122-75,Herbizid,"2,4-D",8,g/kg,,,,0
060122-75,Herbizid,Dicamba,1.2,g/kg,,,,0
008047-60,Herbizid,Eisen-II-sulfat,163,g/kg,Monohydrat,182,g/kg,0
060122-72,Herbizid,"2,4-D",8,g/kg,,,,0
060122-72,Herbizid,Dicamba,1.2,g/kg,,,,0
008047-61,Herbizid,Eisen-II-sulfat,163,g/kg,Monohydrat,182,g/kg,0
052569-63,Insektizid,Aluminiumphosphid,560,g/kg,,,,0
007874-00,Insektizid,Deltamethrin,25,g/l,,,,0
00A566-00,Fungizid,Flutianil,50,g/l,,,,0
00B252-60,Fungizid,Azoxystrobin,200,g/l,,,,0
00B252-60,Fungizid,Prothioconazol,175,g/l,,,,0
00B242-60,Fungizid,Azoxystrobin,250,g/l,,,,0
034560-66,Fungizid,Azoxystrobin,250,g/l,,,,0
00A588-60,Herbizid,Nicosulfuron,30,g/l,,,,0
00A588-60,Herbizid,Mesotrione,80,g/l,,,,0
026282-61,Fungizid,Amisulbrom,200,g/l,,,,0
008400-64,Herbizid,Flufenacet,480,g/l,,,,0
00A398-60,Fungizid,Prothioconazol,250,g/l,,,,0
00A606-61,Herbizid,Clopyralid,80,g/l,,,,0
00A606-61,Herbizid,Fluroxypyr,100,g/l,1-Methyl-heptylester,144,g/l,0
00A606-61,Herbizid,Florasulam,2.5,g/l,,,,0
008484-62,Wachstumsregler,Trinexapac,222.2,g/l,Ethylester,250,g/l,0
008288-63,Herbizid,Dicamba,480,g/l,Dimethylamin-Salz,577.9,g/l,0
008633-00,Herbizid,"2,4-D",360,g/l,Ethylhexylester,543,g/l,0
008633-00,Herbizid,Fluroxypyr,90,g/l,1-Methyl-heptylester,130,g/l,0
007606-00,Fungizid,Fludioxonil,500,g/kg,,,,0
007808-60,Wachstumsregler,Chlormequat,480.8,g/l,Chlorid,620,g/l,0
008089-00,Herbizid,Picloram,13.3,g/l,Triisopropanolammonium,23.8,g/l,0
008089-00,Herbizid,Metazachlor,500,g/l,,,,0
