Zulassungsnr,Wirkungsbereich,Wirkstoff_Main,Gehalt_Main,Einhalt_Main,Wirkstoff_Compound,Gehalt_Compound,Einhalt_Compound,Organismus_Bakteria
050425-72,"Repellent, Wildschadenverhütungsmittel",Calciumcarbid,800,g/kg,,,,0
008023-00,Rodentizid,Zinkphosphid,25,g/kg,,,,0
008219-00,Fungizid,Prothioconazol,130,g/l,,,,0
008219-00,Fungizid,Fluopyram,65,g/l,,,,0
008219-00,Fungizid,Bixafen,65,g/l,,,,0
008632-60,Fungizid,Kaliumphosphonat (Kaliumphosphit),726,g/l,,,,0
006902-00,Fungizid,Difenoconazol,125,g/l,,,,0
006902-00,Fungizid,Azoxystrobin,200,g/l,,,,0
00B269-00,Insektizid,Acetamiprid,200,g/kg,,,,0
034060-63,Herbizid,Quizalofop-P,46.3,g/l,Ethylester,50,g/l,0
028854-60,Herbizid,Tribenuron,481.03,g/kg,Methylester,500,g/kg,0
006220-63,Herbizid,Propyzamid,400,g/l,,,,0
008838-64,Fungizid,Kaliumphosphonat (Kaliumphosphit),726,g/l,,,,0
028610-00,Herbizid,Amidosulfuron,50,g/kg,Natrium-Salz,53,g/kg,0
028610-00,Herbizid,Mefenpyr,86.58,g/kg,Diethylester,90,g/kg,0
028610-00,Herbizid,Iodosulfuron,9.312,g/kg,Methylester-Na,10,g/kg,0
028610-00,Herbizid,Mesosulfuron,29.16,g/kg,Methylester-Na,31.324,g/kg,0
008188-00,Herbizid,Mefenpyr,90,g/kg,,,,0
008188-00,Herbizid,Propoxycarbazone,67.5,g/kg,,,,0
008188-00,Herbizid,Mesosulfuron,43.8,g/kg,Methylester-Na,47,g/kg,0
035938-00,Herbizid,Mefenpyr,28.86,g/l,Diethylester,30,g/l,0
035938-00,Herbizid,Iodosulfuron,1.862,g/l,Methylester-Na,2,g/l,0
035938-00,Herbizid,Mesosulfuron,9.72,g/l,Methylester-Na,10,g/l,0
028571-00,Herbizid,Mefenpyr,114.7,g/kg,Diethylester,135,g/kg,0
028571-00,Herbizid,Iodosulfuron,8.39,g/kg,Methylester-Na,9,g/kg,0
028571-00,Herbizid,Mesosulfuron,41.87,g/kg,Methylester-Na,47,g/kg,0
028571-00,Herbizid,Thiencarbazone,21.7,g/kg,Methylester-Na,23.8,g/kg,0
00A070-00,Wachstumsregler,Natrium-o-nitrophenolat,2,g/l,,,,0
00A070-00,Wachstumsregler,Natrium-5-nitroguaiacolat,1,g/l,,,,0
00A070-00,Wachstumsregler,Natrium-p-nitrophenolat,3,g/l,,,,0
044915-00,Herbizid,Propoxycarbazone,663.4,g/kg,Natrium-Salz,700,g/kg,0
00A462-00,Fungizid,Prothioconazol,250,g/l,,,,0
005322-00,Herbizid,Carfentrazone,371.79,g/kg,Ethylester,400,g/kg,0
033838-64,Herbizid,Prosulfocarb,800,g/l,,,,0
024182-67,"Akarizid, Insektizid",Paraffinöl (CAS 8042-47-5),546,g/l,,,,0
030526-61,"Akarizid, Insektizid",Paraffinöl (CAS 8042-47-5),654,g/l,,,,0
00A197-62,Herbizid,Isoxadifen,108.1,g/l,Ethylester,134,g/l,0
00A197-62,Herbizid,Tembotrione,345,g/l,,,,0
00A197-62,Herbizid,Thiencarbazone,65.55,g/l,Methylester,68,g/l,0
026764-00,Fungizid,Prothioconazol,150,g/l,,,,0
026764-00,Fungizid,Bixafen,75,g/l,,,,0
008178-00,Herbizid,Cloquintocet,8.33,g/l,Mexyl 1-Methyl-hexylester,8.33,g/l,0
008178-00,Herbizid,Pinoxaden,33.3,g/l,,,,0
008178-00,Herbizid,Pyroxsulam,8.33,g/l,,,,0
007402-00,Molluskizid,Metaldehyd,30,g/kg,,,,0
00B150-00,Molluskizid,Metaldehyd,27,g/kg,,,,0
026845-00,Herbizid,Cloquintocet,7.96,g/l,Mexyl 1-Methyl-hexylester,11.25,g/l,0
026845-00,Herbizid,Florasulam,5,g/l,,,,0
026845-00,Herbizid,Pinoxaden,45,g/l,,,,0
026326-00,Herbizid,Cloquintocet,8.85,g/l,Mexyl 1-Methyl-hexylester,12.5,g/l,0
026326-00,Herbizid,Pinoxaden,50,g/l,,,,0
007028-00,Insektizid,lambda-Cyhalothrin,0.75,g/l,,,,0
007029-00,Insektizid,lambda-Cyhalothrin,0.016,g/l,,,,0
00B164-00,Insektizid,Azadirachtin,10,g/l,,,,0
00B003-60,Fungizid,Azoxystrobin,250,g/l,,,,0
008967-00,Fungizid,Azoxystrobin,250,g/l,,,,0
00A065-00,Fungizid,Azoxystrobin,250,g/l,,,,0
00A439-00,Fungizid,Azoxystrobin,250,g/l,,,,0
00A150-00,Fungizid,Azoxystrobin,250,g/l,,,,0
00A150-60,Fungizid,Azoxystrobin,250,g/l,,,,0
00A584-61,Fungizid,Azoxystrobin,250,g/l,,,,0
006860-61,Fungizid,Cyazofamid,160,g/l,,,,0
007712-60,Fungizid,Schwefel,800,g/kg,,,,0
007938-00,Herbizid,Mesotrione,500,g/kg,,,,0
006922-60,Fungizid,Pyrimethanil,400,g/l,,,,0
024080-60,Insektizid,"Bacillus thuringiensis subspecies kurstaki Stamm ABTS-351 (Stamm HD-1) (33,2 g/l Grundkörper) 17.600IU/mg",33.2,g/l,,,,1
028956-00,Fungizid,Kupferoxychlorid,235.3,g/kg,,,,0
028956-00,Fungizid,Kupferhydroxid,215,g/kg,,,,0
00A286-00,Fungizid,Pyraclostrobin,100,g/l,,,,0
00A286-00,Fungizid,Mefentrifluconazole,100,g/l,,,,0
00A501-60,Herbizid,Fluazifop-P,128.05,g/l,Butylester,150,g/l,0
034028-62,"Fungizid, Wachstumsregler",Tebuconazol,250,g/l,,,,0
025662-61,Fungizid,Tebuconazol,125,g/l,,,,0
025662-61,Fungizid,Prothioconazol,125,g/l,,,,0
005685-63,Wachstumsregler,Trinexapac,222,g/l,Ethylester,250,g/l,0
008487-00,Wachstumsregler,Ethylen,40,g/kg,,,,0
007958-60,Herbizid,Nicosulfuron,40,g/l,,,,0
034145-00,Herbizid,Aclonifen,600,g/l,,,,0
006899-00,Fungizid,Fluazinam,500,g/l,,,,0
00A494-00,Insektizid,Piperonylbutoxid,50.7,g/l,,,,0
00A494-00,Insektizid,Deltamethrin,6,g/l,,,,0
00A076-00,Herbizid,Dicamba,480,g/l,,,,0
026173-60,Herbizid,Glyphosat,360,g/l,Isopropylamin-Salz,485.8,g/l,0
008772-00,Herbizid,Picloram,67,g/l,Monoethanolamin-Salz,84,g/l,0
008772-00,Herbizid,Clopyralid,267,g/l,Monoethanolamin-Salz,352,g/l,0
026173-00,Herbizid,Glyphosat,360,g/l,Isopropylamin-Salz,485.8,g/l,0
026321-00,Herbizid,Glyphosat,450,g/l,,,,0
026404-00,Herbizid,Glyphosat,490,g/l,,,,0
028865-00,Herbizid,Clopyralid,100,g/l,Monoethanolamin-Salz,131.4,g/l,0
025913-00,Fungizid,Fluoxastrobin,37.5,g/l,,,,0
025913-00,Fungizid,Prothioconazol,37.5,g/l,,,,0
008357-00,Herbizid,Mesotrione,100,g/l,,,,0
038651-61,Herbizid,Mesotrione,100,g/l,,,,0
00A485-60,Herbizid,Quizalofop-P-ethyl,50,g/l,,,,0
00A117-00,"Fungizid, Herbizid, Insektizid, Nematizid",Dazomet,950,g/kg,,,,0
008517-60,Herbizid,Mesotrione,100,g/l,,,,0
034107-63,Herbizid,Propaquizafop,100,g/l,,,,0
00A945-00,Herbizid,MCPA,161,g/l,Kalium/Natrium-Salz,184.09,g/l,0
00A945-00,Herbizid,Dicamba,17.8,g/l,Natrium-Salz,19.57,g/l,0
008226-00,Herbizid,Diflufenican,200,g/l,,,,0
008226-00,Herbizid,Flufenacet,400,g/l,,,,0
024182-60,"Akarizid, Insektizid",Paraffinöl (CAS 8042-47-5),546,g/l,,,,0
024785-69,Insektizid,Pyrethrine,0.05,g/l,,,,0
024785-69,Insektizid,Rapsöl,8.25,g/l,,,,0
024785-63,Insektizid,Pyrethrine,0.05,g/l,,,,0
024785-63,Insektizid,Rapsöl,8.25,g/l,,,,0
024785-67,Insektizid,Pyrethrine,0.05,g/l,,,,0
024785-67,Insektizid,Rapsöl,8.25,g/l,,,,0
024436-63,Insektizid,Azadirachtin,10.6,g/l,,,,0
025876-60,Fungizid,Propamocarb,523.8,g/l,Hydrochlorid,625,g/l,0
025876-60,Fungizid,Fluopicolide,62.5,g/l,,,,0
006788-00,Insektizid,Deltamethrin,0.008,g/l,,,,0
024785-74,Insektizid,Pyrethrine,0.05,g/l,,,,0
024785-74,Insektizid,Rapsöl,8.25,g/l,,,,0
024785-72,Insektizid,Pyrethrine,0.05,g/l,,,,0
024785-72,Insektizid,Rapsöl,8.25,g/l,,,,0
007626-00,Fungizid,Tebuconazol,25,g/l,,,,0
006867-00,Fungizid,Tebuconazol,0.125,g/l,,,,0
006867-00,Fungizid,Trifloxystrobin,0.125,g/l,,,,0
006867-60,Fungizid,Tebuconazol,0.125,g/l,,,,0
006867-60,Fungizid,Trifloxystrobin,0.125,g/l,,,,0
006788-62,Insektizid,Deltamethrin,0.008,g/l,,,,0
024436-67,Insektizid,Azadirachtin,10.6,g/l,,,,0
024436-66,Insektizid,Azadirachtin,10.6,g/l,,,,0
006788-63,Insektizid,Deltamethrin,0.008,g/l,,,,0
007825-61,Molluskizid,Metaldehyd,25,g/kg,,,,0
043099-62,Fungizid,Fosetyl,746,g/kg,Aluminium-Salz,800,g/kg,0
043099-63,Fungizid,Fosetyl,746,g/kg,Aluminium-Salz,800,g/kg,0
006867-64,Fungizid,Tebuconazol,0.125,g/l,,,,0
006867-64,Fungizid,Trifloxystrobin,0.125,g/l,,,,0
005747-62,Herbizid,"2,4-D",70,g/l,Dimethylamin-Salz,84.3,g/l,0
005747-62,Herbizid,MCPA,70,g/l,Dimethylamin-Salz,85.7,g/l,0
005747-62,Herbizid,Dicamba,20,g/l,Dimethylamin-Salz,24.1,g/l,0
005747-62,Herbizid,Mecoprop-P,42,g/l,Dimethylamin-Salz,50.8,g/l,0
006796-00,Herbizid,Fettsäuren (C7 - C20),29.7,g/l,Caprylsäure/Caprinsäure,29.7,g/l,0
024785-73,Insektizid,Pyrethrine,0.05,g/l,,,,0
024785-73,Insektizid,Rapsöl,8.25,g/l,,,,0
006788-61,Insektizid,Deltamethrin,0.008,g/l,,,,0
00B135-60,Herbizid,Ethofumesat,500,g/l,,,,0
008047-66,Herbizid,Eisen-II-sulfat,163,g/kg,Monohydrat,182,g/kg,0
008047-67,Herbizid,Eisen-II-sulfat,163,g/kg,Monohydrat,182,g/kg,0
005338-00,Herbizid,Metamitron,696,g/l,,,,0
007671-00,Herbizid,Metamitron,700,g/kg,,,,0
006787-00,Herbizid,Beflubutamid,500,g/l,,,,0
00A480-00,Fungizid,Mefentrifluconazole,75,g/l,,,,0
034046-61,Wachstumsregler,Chlormequat,558.3,g/l,Chlorid,720,g/l,0
00A583-00,Wachstumsregler,Chlormequat,310.18,g/l,Chlorid,400,g/l,0
008778-00,Herbizid,Picloram,48,g/l,,,,0
008778-00,Herbizid,Halauxifen-methyl,10,g/l,,,,0
006275-61,Herbizid,Eisen-II-sulfat,238,g/kg,Monohydrat,266,g/kg,0
027821-63,Herbizid,"2,4-D",3.3,g/kg,Dimethylamin-Salz,3.97,g/kg,0
027821-63,Herbizid,Dicamba,1.6,g/kg,Dimethylamin-Salz,1.93,g/kg,0
006767-00,Fungizid,Pyraclostrobin,128,g/kg,,,,0
006767-00,Fungizid,Boscalid,252,g/kg,,,,0
008528-00,Herbizid,Pelargonsäure,680,g/l,,,,0
008529-00,Herbizid,Pelargonsäure,500,g/l,,,,0
00A479-60,Fungizid,Boscalid,500,g/kg,,,,0
00A046-00,"Bakterizid, Fungizid",8-Hydroxychinolin,373.7,g/l,Sulfat,500,g/l,0
024257-00,Herbizid,Phenmedipham,200,g/l,,,,0
024257-00,Herbizid,Ethofumesat,200,g/l,,,,0
00B141-00,Herbizid,Clethodim,240,g/l,,,,0
00A175-00,Insektizid,Cyantraniliprole,100,g/l,,,,0
007100-00,Herbizid,Metazachlor,250,g/l,,,,0
007100-00,Herbizid,Clomazone,33,g/l,,,,0
006977-00,Wachstumsregler,Gibberellinsäure,400,g/kg,,,,0
00A817-00,Herbizid,Phenmedipham,160,g/l,,,,0
00A542-00,Herbizid,Phenmedipham,200,g/l,,,,0
00A542-00,Herbizid,Ethofumesat,190,g/l,,,,0
005328-00,Herbizid,Phenmedipham,160,g/l,,,,0
005328-61,Herbizid,Phenmedipham,160,g/l,,,,0
008104-00,Fungizid,Kaliumphosphonat (Kaliumphosphit),634,g/l,,,,0
007028-60,Insektizid,lambda-Cyhalothrin,0.75,g/l,,,,0
007029-60,Insektizid,lambda-Cyhalothrin,0.016,g/l,,,,0
006171-66,"Akarizid, Insektizid",Pyrethrine,0.2,g/l,,,,0
006171-66,"Akarizid, Insektizid",Abamectin,0.015,g/l,,,,0
00A702-00,Fungizid,Pyraclostrobin,67,g/kg,,,,0
00A702-00,Fungizid,Boscalid,267,g/kg,,,,0
00A452-61,Molluskizid,Eisen-III-phosphat,9.79,g/kg,Dihydrat,12.5,g/kg,0
024780-72,Insektizid,Pyrethrine,4.59,g/l,,,,0
024780-72,Insektizid,Rapsöl,825.3,g/l,,,,0
024785-78,Insektizid,Pyrethrine,0.05,g/l,,,,0
024785-78,Insektizid,Rapsöl,8.25,g/l,,,,0
007919-00,Wachstumsregler,Ethylen,999.99,g/kg,,,,0
00B378-00,Pheromon,(Z)-9-Dodecen-1-ylacetat,80,g/kg,,,,0
00B378-00,Pheromon,"(E,Z)-7,9-Dodecadien-1-ylacetat",689,g/kg,,,,0
024645-64,Herbizid,Pelargonsäure,186.7,g/l,Ammonium-Salz,206.8,g/l,0
007137-00,Fungizid,Trichoderma gamsii Stamm ICC 080 (vormals T. viride) 15.000.000.000cfu/kg,20,g/kg,,,,1
007137-00,Fungizid,Trichoderma asperellum Stamm ICC 012 (vormals T. harzianum) 15.000.000.000cfu/kg,20,g/kg,,,,1
007502-00,Wachstumsregler,Grüne-Minze-Öl,948,g/l,,,,0
00A827-00,Wachstumsregler,Grüne-Minze-Öl,286,g/kg,,,,0
060122-88,Herbizid,"2,4-D",8,g/kg,,,,0
060122-88,Herbizid,Dicamba,1.2,g/kg,,,,0
007416-00,Fungizid,Aureobasidium pullulans DSM 14940 2.500.000.000.000cfu/kg,250,g/kg,,,,1
007416-00,Fungizid,Aureobasidium pullulans DSM 14941 2.500.000.000.000cfu/kg,250,g/kg,,,,1
