Zulassungsnr,Wirkungsbereich,Wirkstoff_Main,Gehalt_Main,Einhalt_Main,Wirkstoff_Compound,Gehalt_Compound,Einhalt_Compound,Organismus_Bakteria,HRAC
008772-00,Herbizid,Picloram,67,g/l,Monoethanolamin-Salz,84,g/l,0,4
008772-00,Herbizid,Clopyralid,267,g/l,Monoethanolamin-Salz,352,g/l,0,4
026173-00,Herbizid,Glyphosat,360,g/l,Isopropylamin-Salz,485.8,g/l,0,9
026321-00,Herbizid,Glyphosat,450,g/l,"",,"",0,9
026404-00,Herbizid,Glyphosat,490,g/l,"",,"",0,9
028865-00,Herbizid,Clopyralid,100,g/l,Monoethanolamin-Salz,131.4,g/l,0,4
008357-00,Herbizid,Mesotrione,100,g/l,"",,"",0,27
038651-61,Herbizid,Mesotrione,100,g/l,"",,"",0,27
00A485-60,Herbizid,Quizalofop-P-ethyl,50,g/l,"",,"",0,
008517-60,Herbizid,Mesotrione,100,g/l,"",,"",0,27
034107-63,Herbizid,Propaquizafop,100,g/l,"",,"",0,1
00A945-00,Herbizid,MCPA,161,g/l,Kalium/Natrium-Salz,184.09,g/l,0,4
00A945-00,Herbizid,Dicamba,17.8,g/l,Natrium-Salz,19.57,g/l,0,4
008226-00,Herbizid,Diflufenican,200,g/l,"",,"",0,12
008226-00,Herbizid,Flufenacet,400,g/l,"",,"",0,15
005747-62,Herbizid,"2,4-D",70,g/l,Dimethylamin-Salz,84.3,g/l,0,4
005747-62,Herbizid,MCPA,70,g/l,Dimethylamin-Salz,85.7,g/l,0,4
005747-62,Herbizid,Dicamba,20,g/l,Dimethylamin-Salz,24.1,g/l,0,4
005747-62,Herbizid,Mecoprop-P,42,g/l,Dimethylamin-Salz,50.8,g/l,0,4
006796-00,Herbizid,Fettsäuren (C7 - C20),29.7,g/l,Caprylsäure/Caprinsäure,29.7,g/l,0,
00B135-60,Herbizid,Ethofumesat,500,g/l,"",,"",0,
008047-66,Herbizid,Eisen-II-sulfat,163,g/kg,Monohydrat,182,g/kg,0,
008047-67,Herbizid,Eisen-II-sulfat,163,g/kg,Monohydrat,182,g/kg,0,
005338-00,Herbizid,Metamitron,696,g/l,"",,"",0,5
007671-00,Herbizid,Metamitron,700,g/kg,"",,"",0,5
006787-00,Herbizid,Beflubutamid,500,g/l,"",,"",0,12
008778-00,Herbizid,Picloram,48,g/l,"",,"",0,4
008778-00,Herbizid,Halauxifen-methyl,10,g/l,"",,"",0,4
006275-61,Herbizid,Eisen-II-sulfat,238,g/kg,Monohydrat,266,g/kg,0,
027821-63,Herbizid,"2,4-D",3.3,g/kg,Dimethylamin-Salz,3.97,g/kg,0,4
027821-63,Herbizid,Dicamba,1.6,g/kg,Dimethylamin-Salz,1.93,g/kg,0,4
008528-00,Herbizid,Pelargonsäure,680,g/l,"",,"",0,
008529-00,Herbizid,Pelargonsäure,500,g/l,"",,"",0,
024257-00,Herbizid,Phenmedipham,200,g/l,"",,"",0,5
024257-00,Herbizid,Ethofumesat,200,g/l,"",,"",0,
00B141-00,Herbizid,Clethodim,240,g/l,"",,"",0,1
007100-00,Herbizid,Metazachlor,250,g/l,"",,"",0,15
007100-00,Herbizid,Clomazone,33,g/l,"",,"",0,13
00A817-00,Herbizid,Phenmedipham,160,g/l,"",,"",0,5
00A542-00,Herbizid,Phenmedipham,200,g/l,"",,"",0,5
00A542-00,Herbizid,Ethofumesat,190,g/l,"",,"",0,
005328-00,Herbizid,Phenmedipham,160,g/l,"",,"",0,5
005328-61,Herbizid,Phenmedipham,160,g/l,"",,"",0,5
024645-64,Herbizid,Pelargonsäure,186.7,g/l,Ammonium-Salz,206.8,g/l,0,
060122-88,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-88,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
024646-67,Herbizid,Pelargonsäure,31.02,g/l,Grundkörper,34.4,g/l,0,
006396-00,Herbizid,MCPA,200,g/l,"",,"",0,4
006396-00,Herbizid,Clopyralid,20,g/l,"",,"",0,4
006396-00,Herbizid,Fluroxypyr,40,g/l,1-Methyl-heptylester,57.64,g/l,0,4
00A960-00,Herbizid,Aclonifen,600,g/l,"",,"",0,32
00A960-00,Herbizid,Diflufenican,30,g/l,"",,"",0,12
026763-00,Herbizid,Glyphosat,360,g/l,Isopropylamin-Salz,485.8,g/l,0,9
028110-00,Herbizid,Mesotrione,100,g/l,"",,"",0,27
00A219-00,Herbizid,Pyridat,300,g/l,"",,"",0,6
00A219-00,Herbizid,Mesotrione,90,g/l,"",,"",0,27
037382-00,Herbizid,Metsulfuron,240.8,g/kg,Methylester,250,g/kg,0,2
037382-00,Herbizid,Tribenuron,241.15,g/kg,Methylester,250,g/kg,0,2
033838-00,Herbizid,Prosulfocarb,800,g/l,"",,"",0,15
00A952-60,Herbizid,Diflufenican,14,g/l,"",,"",0,12
00A952-60,Herbizid,Prosulfocarb,667,g/l,"",,"",0,15
00A985-00,Herbizid,Mesotrione,100,g/l,"",,"",0,27
00A364-00,Herbizid,Napropamid,500,g/l,"",,"",0,
00A364-00,Herbizid,Quinmerac,100,g/l,"",,"",0,4
035312-60,Herbizid,Flumioxazin,500,g/kg,"",,"",0,14
060122-67,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-67,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
