"","Wirkstoff_Main","Normalized_Wirkstoff"
"229","Cydia pomonella Granulovirus Isolat GV-0013 (Isolat V15) 2.500.000.000.000Granula je l","Cydia pomonella Granulovirus Isolat GV-0013 (Isolat V15) 2.500.000.000.000Granula je l"
"230","Cydia pomonella Granulovirus Isolat GV-0006 30.000.000.000.000Granula je l","Cydia pomonella Granulovirus Isolat GV-0006 30.000.000.000.000Granula je l"
"231","Cydia pomonella Granulovirus Isolat GV-0015 30.000.000.000.000Granula je l","Cydia pomonella Granulovirus Isolat GV-0015 30.000.000.000.000Granula je l"
"232","Cydia pomonella Granulovirus Isolat GV-0013 (Isolat V15) 30.000.000.000.000Granula je l","Cydia pomonella Granulovirus Isolat GV-0013 (Isolat V15) 30.000.000.000.000Granula je l"
"233","Cyprosulfamide","Cyprosulfamide"
"234","Iprovalicarb","Iprovalicarb"
"235","Benzoesäure","Benzoic acid"
"236","Thymol","Thymol"
"237","Eugenol","Eugenol"
"238","Geraniol","Geraniol"
"239","Dinatriumphosphonat","Disodium phosphonate"
"240","Tebufenozid","Tebufenozide"
"241","Natriumhydrogencarbonat","Natriumhydrogencarbonat"
"242","Beauveria bassiana Stamm ATCC 74040 23.000.000.000cfu/l","Beauveria bassiana strain ATCC 74040"
"243","Cyflumetofen","Cyflumetofen"
"244","Fosthiazate","Fosthiazate"
"245","Bupirimat","Bupirimate"
"246","Paecilomyces fumosoroseus Stamm Fe9901 500.000.000.000cfu/l","Paecilomyces fumosoroseus Stamm Fe9901 500.000.000.000cfu/l"
"247","Pirimicarb","Pirimicarb"
"248","Picolinafen","Picolinafen"
"249","Pepino Mosaic Virus Stamm CH2 (Isolat 1906) 500.000.000.000Genomkopien / Virenpartikel pro L","Pepino Mosaic Virus Stamm CH2 (Isolat 1906) 500.000.000.000Genomkopien / Virenpartikel pro L"
"250","Pythium oligandrum M1 500.000.000Sporen je kg","Pythium oligandrum M1 500.000.000Sporen je kg"
"251","Clonostachys rosea Stamm J1446 (vormals Gliocladium catenulatum) 100.000.000.000cfu/kg","Clonostachys rosea strain J1446"
"252","Quarzsand","Quartz sand"
"253","Lupinus albus L. Samen Extrakt","Lupinus albus L. Samen Extrakt"
"254","Florpyrauxifen-benzyl","Florpyrauxifen-benzyl"
"255","Sulfurylfluorid","Sulfuryl fluoride"
"256","Pseudomonas sp. Stamm DSMZ 13134 66.000.000.000.000cfu/kg","Pseudomonas sp. strain DSMZ 13134"
"257","Pyraflufen","Pyraflufen-ethyl"
"258","pro Dispenser E8,E10-Dodecadien-1-ol + Tetradecylacetat","pro Dispenser E8,E10-Dodecadien-1-ol + Tetradecylacetat"
"259","Penthiopyrad","Penthiopyrad"
"260","Metalaxyl","Metalaxyl"
"261","Cerevisane","Cerevisane"
"262","Trichoderma asperellum Stamm T34 1.000.000.000.000cfu/kg","Trichoderma asperellum strain T34"
"263","Triticonazol","Triticonazole"
"264","Bacillus amyloliquefaciens Stamm QST 713 (vormals B. subtilis) 1.000.000.000.000cfu/kg","Bacillus amyloliquefaciens QST 713"
"265","Bacillus amyloliquefaciens Stamm MBI 600 55.000.000.000.000cfu/kg","Bacillus amyloliquefaciens MBI600"
"266","Daminozid","Daminozide"
"267","Kieselgur","Kieselgur"
"268","Penconazol","Penconazole"
"269","2,5-Dichlorbenzoesäuremethylester","2,5-dichlorobenzoic acid methyl ester"
"270","Sulcotrion","Sulcotrione"
"271","Esfenvalerat","Esfenvalerate"
"272","Fenoxaprop-P","Fenoxaprop-P"
"273","Hymexazol","Hymexazol"
"274","Bacillus amyloliquefaciens Stamm FZB24 10.000.000.000.000cfu/kg","Bacillus amyloliquefaciens Stamm FZB24 10.000.000.000.000cfu/kg"
"275","Fenhexamid","Fenhexamid"
"276","Bacillus amyloliquefaciens subsp. plantarum Stamm D747 7.500.000.000.000cfu/l","Bacillus amyloliquefaciens subsp. plantarum D747"
"277","Etofenprox","Etofenprox"
"278","Schaffett","Schaffett"
"279","Trichoderma atroviride Stamm AT10 100.000.000.000cfu/kg","Trichoderma atroviride strain AT10"
"280","Trichoderma atroviride Stamm I-1237 100.000.000.000cfu/kg","Trichoderma atroviride strain I-1237"
"281","ABE-IT 56","ABE-IT 56"
"282","Beauveria bassiana Stamm PPRI 5339 8.000.000.000.000cfu/l","Beauveria bassiana Stamm PPRI 5339 8.000.000.000.000cfu/l"
"283","Lenacil","Lenacil"
"284","Sedaxane","Sedaxane"
"285","Trichoderma atroviride Stamm SC1 10.000.000.000.000cfu/kg","Trichoderma atroviride Stamm SC1 10.000.000.000.000cfu/kg"
"286","Eisen-III-pyrophosphat","Ferric pyrophosphate"
"287","Valifenalate","Valifenalate"
"288","Mild Pepino Mosaic Virus Isolat VC1 375.000.000.000.000Sporen je l","Mild Pepino Mosaic Virus Isolat VC1 375.000.000.000.000Sporen je l"
"289","Mild Pepino Mosaic Virus Isolat VX1 375.000.000.000.000Sporen je l","Mild Pepino Mosaic Virus Isolat VX1 375.000.000.000.000Sporen je l"
"290","Mild Pepino Mosaic Virus Isolat VC1 75.000.000.000.000Genomkopien / Virenpartikel pro L","Mild Pepino Mosaic Virus Isolat VC1 75.000.000.000.000Genomkopien / Virenpartikel pro L"
"291","Formetanat","Formetanate"
"292","Trichoderma asperellum Stamm T34 10.000.000.000cfu/kg","Trichoderma asperellum strain T34"
"293","1,4-Dimethylnaphthalin","1,4-dimethylnaphthalene"
