substance,crop,CAS,CLP,BCF,SCI.Grow,SoilDT50,Birds.Acute.LD50.mg.kg,Mammals.Acute.Oral.LD50.mg.kg.BW.day,Earthworms.Acute.14d.LC50.mg.kg,Earthworms.Chronic.14d.NOEC..Reproduction.mg.kg.corrected,BeesLD50,Fish.Acute.96hr.LC50.mg.l,Fish.Chronic.21d.NOEC.mg.l.corrected,Aquatic.Invertebrates.Acute.48hr.EC50.mg.l,Aquatic.Invertebrates.Chronic.21d.NOEC.mg.l.correted,Aquatic.Plants.Acute.7d.EC50.mg.l,Algae.Acute.72hr.EC50.Growth.mg.l,water.phase.DT50.days
Chlormequat,"Cereals including wheat, triticale, barley, rye; Ornamentals including geraniums, pelargoniums, poinsetta; vegetables including  tomatoes, cabbage, cauliflower, radish",7003-89-6,"Health: H302, H312",-,1.39 X 10 e-01,27.4,441,115,320,681,> 65.2,> 100,43.1,31.7,2.4,5.3,> 100,-
Clethodim,"Sugarbeet; Soybeans; Potatoes; Sunflowers; Alfalfa; Vegetables including beans & peas, asparagus, carrots, aubergine; Cotton; Fax; Peanuts; Fruit including melons, peaches; Herbs",99129-21-2,"Health: H302, H317, H373Environment: H412",3.5,2.50 X 10 e-03,0.54,> 1660,1133,27.0,-,> 199.2,25,3.9,> 100,49,3.78,35.1,7.0
Clodinafop,"Cereals including wheat, triticale and rye",114420-56-3,"Health: H302, H317, H373Environment: H400, H410",Low risk,2.14 X 10 e-01,12.35,1363,1392,197,-,40.9,> 76.0,4.1,> 10,0.16,4.5,2.0,-
Clomazone,"Cotton; Vegetables including peas, potatoes, sweet potatoes, green beans, navy beans; Curcubits; Tobacco; Rice; Oilseed rape",81777-89-1,"Health: H302, H312, H315, H319, H332Environment: H400, H410, H411, H412",40,2.80 X 10 e-01,26.8,> 2224,767.5,78,> 85.75,> 89.5,15.5,2.30,12.7,2.2,34.0,83.4,24.2
Clopyralid,"Cereals including wheat, barley, oats, triticale; Turf; Ornamentals; Non-cropped and fallow land; Industrial situations",1702-17-6,Health: H318,1,4.30 X 10 e-02,23.2,1465,> 5000,> 1000,>= 1.97,> 98.1,> 99.9,10.8,> 99,17,89,30.5,148
Cloquintocet-methyl,N/A,4367-49-1,"Health: H317, H319, H332, H373Environment: H400, H410",-,Cannot be calculated,-,-,-,-,-,-,-,-,-,-,-,-,-
Copper oxychloride,Ornamentals; Beet crops; Olives; Grapes; Tomatoes,1332-40-7,"Health: H302, H314, H315, H319, H332Environment: H400, H410",Low risk,2.84 X 10 e-06,0.1,173,299,> 489.6,< 40.5,44.3,> 43.8,18.0,0.29,0.006,-,165.9,-
Cyantraniliprole,"Onions; Potatoes; Field tomatoes; Vegetables incuding brassica, cucurbit, fruiting, and leafy vegetables, as well as greenhouse-grown aubergine, pepper, and tomato",736994-63-1,"Health: H315, H319, H335Environment: H400, H410",1.0,1.60 X 10 e-01,34.4,> 2250,> 5000,> 945,-,> 0.0934,> 12.6,-,> 0.020,-,> 12.1,> 13.0,-
Cyazofamid,Potatoes; Tomatoes; Turf; Ornamentals; Curcubit vegetables,120116-88-3,"Environment: H400, H410",286,2.96 X 10 e-03,10,> 2000,> 5000,> 500,2.0,> 100,0.56,0.13,0.19,0.11,0.033,0.025,6.2
Cycloxydim,"Sugarbeet; Fodder beet; Mangels; Linseed; Vegetables including brassicas, beans, peas, leeks, carrots, swede; Fruit including strawberries; Potatoes",101205-02-1,Health: H361d,Low risk,4.19 X 10 e-03,0.65,> 2000,3940,> 500,-,> 100,> 220,21.5,> 70.8,62.5,> 100,> 74.9,4.5
Cyflufenamid,"Curcubits including cucumber, courgette, melon & summer squash; Cereals",180409-60-3,"Health: H332Environment: H400, H410, H411",528,2.21 X 10 e-02,33.8,> 2000,> 5000,> 500,0.667,> 100,1.04,0.024,> 1.73,0.041,-,> 0.828,4.3
Cyflumetofen,"Fruit including citrus, grapes, apples, pears, plums, strawberries; Tomatoes; Cucumber; Tree nuts",400882-07-7,"Health: H317, H332Environment: H400",170,5.35 X 10 e-03,9,> 2000,> 2000,> 1000,-,> 102,> 0.63,> 0.072,> 0.063,> 0.065,-,0.037,1.39
Cymoxanil,Potatoes; Tomatoes; Grapes; Hops; Sugarbeet; Vines,57966-95-7,"Health: H302, H317, H361fd, H373Environment: H400, H410",Low risk,3.24 X 10 e-03,1.7,> 486,356,> 1000,6.6,> 100,29,0.22,27,0.067,> 0.7,0.254,0.3
Cypermethrin,"Cereals including wheat, barley, oats, rye, triticale; Vegetables including peas & beans, brassicas; Oilseed rape; Sugarbeet, fodder beet and mangels; Potatoes; Apples; Pears; Grassland",52315-07-8,"Health: H301; H335. H373Environment: H400, H410",331,5.35 X 10 e-03,22.1,> 9520,287,> 100,> 5.3,0.023,0.00151,0.00003,0.00021,0.00004,-,> 0.0667,3
Cyprodinil,"Fruit including grapes, apples, pears, plums, strawberries; Almonds; Ornamentals; Cereals",121552-61-2,"Health: H361f, H317Environment: H400, H410",393,4.04 X 10 e-02,64.0,> 500,> 2000,192,6.7,> 75,2.41,0.083,0.033,0.0088,7.71,2.6,12.5
Cyprosulfamide,N/A,221667-31-8,-,-,Cannot be calculated,-,-,> 2000,-,-,-,> 106,-,> 102,-,> 104,> 99.7,-
Daminozide,"Ornamentals including azealeas, bedding plants and plugs, chrysanthemums, foliage plants, hydrangers; Tree fruit including peaches, cherries, prunes, pears",1596-84-5,"Health: H351, H315, H319",Low risk,1.43 X 10 e-04,0.12,> 2250,> 5000,> 1000,684,> 250,64,1.7,75.5,> 1.7,> 147.2,> 100,No data
Dazomet,Golf-greens; Turf; Ornamentals; Nursery sites; Potting soil; Strawberry plots; Tomatoes; Tobacco,533-74-4,"Health: H302, H319Environment: H400, H410",3.1,4.75 X 10 e-04,0.52,> 415,415,6.5,-,> 50,0.3,26.0,19.0,-,3.5,0.275,0.45
Deltamethrin,"Sugar beet; Cauliflower; Wheat; Tomatoes; Lettuce; Maize; Sweetcorn; Potatoes; Olives; Top fruit; Commercial, industrial and public buildings; Public health situations; Stored produce",52918-63-5,"Health: H301, H331Environment: H400, H410",1400,5.35 X 10 e-03,58.2,> 2250,87,> 645,0.165,0.0015,0.00015,< 0.000032,0.00056,0.0000041,> 0.000405,> 0.00047,17
Dicamba,"Cotton; Sugarcane; Soybeans; Sorghum; Asparagus; Grass seed crops; Non-cropland; Cereals including wheat, triticale, oats, maize, rye",1918-00-9,"Health: H302, H318Environment: H412",15,3.93 X 10 e-03,9.62,188,1465,> 1000,51.25,> 89.5,> 100,180,> 41.0,=> 97,32.0,> 87,40
Dichlorprop-P,"Cereals including wheat, barley, oats, triticale, rye; Non-cropped land; Fruit especially citrus (growth), apple & pear orchards (weed control)",15165-67-0,"Health: H302, H315, H317, H318",Low risk,9.25 X 10 e-03,6.5,250,567,> 500,309,> 200,> 46.6,> 100,> 100,> 100,4.1,67,14
Difenoconazole,"Vegetables including carrots, asparagus, brassicas; Potatoes; Cereals including barley, oats, rye, wheat, triticale; Sweetcorn; Beets; Cotton; Canola; Tomato; Pome fruits",119446-68-3,"Health: H302, H318, H319, H332Environment: H400, H410",330,1.76 X 10 e-02,133,> 2150,1453,> 610,0.2,> 100,1.1,0.023,0.77,0.0056,2.5,0.032,2.8
Diflufenican,Clover-based pastures; Field peas; Lentils; Lupins; Winter cereals; Soybeans; Corn,83164-33-4,Environment: H412,1276,3.89 X 10 e-02,94.5,> 2150,> 5000,> 500,> 500,> 100,> 0.099,0.015,> 0.24,0.052,0.056,0.00025,-
Dimethachlor,Winter oilseed rape; Soybeans; Sugarbeet,50563-36-5,"Health: H302, H317Environment: H400, H410",75,2.50 X 10 e-03,7.37,524,>= 2000,70,29.0,> 200,5.9,0.85,24,2.3,0.066,0.053,15.7
Dimethenamid-P,"Soybeans; Vegetables including beans, onions, cabbage; Peanuts; Grapevines; Ornamentals; Sugarbeet; Sunflowers; Stone fruit",163515-14-8,"Health: H302, H317Environment: H400",Low risk,5.49 X 10 e-02,11,1068,429,294.4,25.4,> 200,2.6,2.5,3.2,1.25,0.0060,0.019,24
Disodium phosphonate,Grapes,13708-85-5,Environment: H412,Low risk,1.30 X 10 e-01,187,> 675,> 2000,> 944,7.1,-,> 61.26,-,> 61.26,-,-,> 61.26,-
Dithianon,Apples; Pears; Grapes (table & wine); Blackcurrants,3347-22-6,"Health: H302Environment: H400, H410",27,1.28 X 10 e-02,10.5,309,300,578,22.3,> 100,0.07,0.02,0.26,0.05,-,0.09,0.05
Dodine,"Tree fruit including apple, pear, peach, cherry; Strawberries; Walnuts; Sycamore; Onions; Roses",2439-10-3,"Health: H302, H315, H319Environment: H400, H410",16,5.35 X 10 e-03,4.7,857,851,547,171,145,0.57,0.099,0.018,0.0044,-,0.0028,0.18
Esfenvalerate,"Potatoes; Peas & beans; Curcubits; Grassland; Cereals including wheat, barley; Ornamentals; Non-agricultural situations such as schools, industrial sites, public buildings",66230-04-4,"Health: H301, H317, H331, Environment: H400, H410",3250,5.35 X 10 e-03,66.6,1312,88.5,5.3,0.55,0.07,0.0001,0.00025,0.00027,0.000052,-,0.0065,30
Ethephon,"Cereals; Fruit including pineapples, bush fruit; Coffee; Ornamentals; Tobacco; Rubber",16672-87-0,"Health: H302, H311, H314, H332Environment: H411",Low risk,1.11 X 10 e-02,13.1,764,1564,> 165.4,>= 200,> 100,> 100,43,90.4,67,1.5,> 2.86,2.4
Ethofumesate,"Sugarbeet; Red beet; Fodder beet; Onions, gallic & shallots; Carrots; Grass seed crops; Oilseed poppies",26225-79-6,Environment: H411,144,2.99 X 10 e-01,21.6,> 2000,> 2000,134,> 4.42,> 50,10.92,0.156,13.52,0.25,> 52.8,3.9,20
Etofenprox,Fruit; Vegetables; Paddy fields,80844-07-1,"Health: H362Environment: H400, H410",-,5.35 X 10 e-03,11,> 2000,> 2000,> 24.6,-,> 0.038,0.0027,0.0032,0.0012,0.000054,-,> 0.15,5.7
