substance,crop,CAS,CLP,BCF,SCI.Grow,SoilDT50,Birds.Acute.LD50.mg.kg,Mammals.Acute.Oral.LD50.mg.kg.BW.day,Earthworms.Acute.14d.LC50.mg.kg,Earthworms.Chronic.14d.NOEC..Reproduction.mg.kg.corrected,BeesLD50,Fish.Acute.96hr.LC50.mg.l,Fish.Chronic.21d.NOEC.mg.l.corrected,Aquatic.Invertebrates.Acute.48hr.EC50.mg.l,Aquatic.Invertebrates.Chronic.21d.NOEC.mg.l.correted,Aquatic.Plants.Acute.7d.EC50.mg.l,Algae.Acute.72hr.EC50.Growth.mg.l,water.phase.DT50.days
Zinc phosphide,Agricultural crops; Vegetables; Ornamentals; Orchards; Crop storage.,1314-84-7,"Health: H300Handling: H260Environment: H400, H410",-,Cannot be calculated,10.95,12.9,12,> 1000,-,-,> 21.7,-,114,-,-,0.0038,-
Zoxamide,"Potatoes; Grapes; Tomatoes; Curcubits including gourd, melons, squash; Onions and garlic",156052-68-5,"Health: H317Environment: H400, H410",115,5.12 X 10 e-03,5.5,> 2000,> 5000,> 1070,66.7,> 100,0.16,0.004,> 0.78,0.039,0.017,0.011,3
Aluminium phosphide,Non-cropped areas; Grain and other commodity storage,20859-73-8,"Health: H301, H332, H370, H361fEnvironment: H400, H410",Low risk,Cannot be calculated,0.2,49,8.7,663.5,-,-,0.0097,-,0.37,-,-,0.058,-
Bacillus thuringiensis subsp. aizawai strain ABTS-1857,"Field and glasshouse use especially peppers, cucumbers, cabbages and lettuce",-,"Health: H317, H319, H334, H335",-,Cannot be calculated,-,-,-,-,-,-,-,-,-,-,-,-,-
Bacillus thuringiensis subsp. israelensis strain AM65-52,Water environments: Glasshouses: Mushroom houses; Ornamentals,68038-71-1,"Health: H317, H319, H334, H335",-,8.45 X 10 e-04,2.7,> 5000,> 5000,-,-,> 100,> 370,-,> 50,-,-,-,-
Bacillus thuringiensis subsp. kurstaki strain ABTS 351,Grapes,68038-71-1,"Health: H317, H319, H335",-,8.45 X 10 e-04,2.7,> 5000,> 5000,-,-,> 100,2.9 x 10 e09,-,> 1.51 x 10 e08,-,-,> 1.0 x 10 e09,-
Bacillus thuringiensis subsp. kurstaki strain EG2348,Grapes,68038-71-1,"Health: H317, H319, H335",-,8.45 X 10 e-04,2.7,> 5000,> 5000,-,-,> 100,2.9 x 10 e09,-,> 1.51 x 10 e08,-,-,> 1.0 x 10 e09,-
Beauveria bassiana strain ATCC 74040,Vegetables; Maize; Ornamentals; Cotton; Turf; Sugarcane; Strawberries; Tobacco,-,"Health: H334, H317",-,Cannot be calculated,-,> 2667,> 1.8 x 10 e08,-,-,9285,7300,-,4100,-,-,-,-
Clonostachys rosea strain J1446,Vegetables; Herbs; Ornamentals; Turf; Tree seedlings,-,-,-,Cannot be calculated,-,-,> 2000,-,-,-,504,-,7.8,-,-,-,-
Eugenol,Top fruit; Citrus; Grapes,97-53-0,"Health: H302, H315, H317, H319, H336",Low risk,Cannot be calculated,1.0,> 320,> 1930,> 1000,0.84,> 200,> 10,-,1.11,0.0959,-,15.4,-
Kieselgur,Stored grain; Stored products,61790-53-2,"Health: H302, H319, H335, H373",-,Cannot be calculated,730,> 2000,> 2500,> 1000,-,-,> 100,-,> 100,-,-,> 100,-
Maltodextrin,"Most edible and non-edible crops including soft, top, cane and bush fruit",9050-36-6,Not classified,-,Cannot be calculated,5.0,> 2500,> 2000,> 500,-,> 200,> 200,-,> 200,-,-,-,-
Orange oil,Animals; Humans,8028-48-6,Health: H317; H315l H319,246,Cannot be calculated,-,-,> 5000,999.7,-,-,0.702,-,0.421,-,-,4.08,-
Paraffin oil (CAS No: 8042-47-5),Fruit; Vines; Orchards; Fruiting vegetables; Potatoes; Citrus; Ornamentals,8042-47-5,"Health: H304, H315, H319, H341, H371Handling: H226Environment:  H400, H410",-,5.35 X 10 e-03,44.0,-,> 2000,> 375,117.6,> 100,14.3,0.97,0.08,0.43,-,70.45,-
Spearmint oil,Potatoes,8008-79-5,"Health: H304, H317",Low risk,Cannot be calculated,30,-,> 2000,> 1000,-,> 200,> 20.3,-,> 9.59,-,-,4.58,-
Thymol,Bees; Livestock; Grapes; Top fruit,89-83-8,"Health: H302, H314, H317, H318, H336",-,3.29 X 10 e-04,1,> 640,980,> 500,1.65,> 200,3.0,-,4.9,-,-,11.7,-
Acetic acid,"Non-cropped areas; Hard surfaces including walkways, pavements",64-19-7,Handling: H226Health: H314,3.2,2.33 X 10 e-03,1.2,-,3530,> 1000,-,-,45.0,-,31.5,37.9,16.0,5.8,1.2
Iron sulphate,Sports and amenity turf,7720-78-7,"Health: H302, H315, H319",Low risk,8.92 X 10 e-04,0.1,> 1231,> 1185,> 3829,-,-,45.1,3.4,31.2,< 1.08,> 103.4,> 76.6,-
Pelargonic acid,Fruit,112-05-0,"Health: H315, H318Environment: H412",101,6.69 X 10 e-04,1.3,2450,> 2000,> 105,250,> 181.1,> 11.5,16.2,10.0,0.38,> 60.2,16.8,-
Bacillus amyloliquefaciens MBI600,Grapevines; Cereals; Soybeans; Cotton; Legumes,-,-,-,Cannot be calculated,120,> 4000,> 5000,-,> 2.9 x 10 e12,> 100,> 9.9 x  e10,1.3 x 10 e11,-,1.9 x  e10,-,> 5.8 x 10 e11,-
Bacillus amyloliquefaciens QST 713,Vegetables; Potatoes; Top fruit; Stone fruit; Soft fruit including strawberries; Herbs; Ornamentals,-,"Health: H317, H319, H334, H335",-,1.22 X 10 e-02,120,-,> 1.13 x 10 e08,> 10000,-,-,1.4 x 10 e07,-,-,7.9 x 10 e05,-,-,-
Bacillus amyloliquefaciens subsp. plantarum D747,Cereals; Legumes; Soft fruit; Cotton; Ornamentals; Grapes; Vegetables,-,-,-,1.22 X 10 e-02,120,> 1.2 x 10 e09,> 5000,> 1000,-,> 320,-,5.75 x  e10,-,2.84 x 10 e08,-,-,-
Copper sulphate,"Aquatic situations including ditches, drainage channels, streams, rivers, Hemp",12527-76-3,Health: H302,Low risk,2.48 X 10 e-07,0.1,> 72.4,> 300,> 155,< 15,> 23.5,13.2,0.97,2.3,0.057,0.145,12.3,-
Geraniol,Grapes,106-24-1,"Health: H319, H315, H317",-,Cannot be calculated,-,> 10000,> 4000,> 500,-,> 200,11.6,-,16.1,-,-,48.0,-
Pseudomonas chlororaphis strain MA342,"Cereals including wheat, rye, triticale; Vegetables including carrot, peas",-,-,-,Cannot be calculated,-,-,> 5000,-,-,-,-,-,-,-,-,-,-
Pseudomonas sp. strain DSMZ 13134,Potatoes,-,-,-,Cannot be calculated,-,-,-,> 1.06 x 10 e11,-,-,-,-,-,-,-,-,-
Sulphur,"Fruit including apples, pears, gooseberries, grapes, peaches, strawberries, melons; Cereals; Hops; Beans; Carrots; Lucerne; Tomatoes; Peanuts; Ornamentals including roses",7704-34-9,"Health: H335, H319, H315",Low risk,1.38 X 10 e-06,30,> 2000,> 2000,> 2000,> 1000,> 100,> 0.063,> 0.063,> 0.063,-,-,> 0.063,Stable
Trichoderma asperellum strain ICC012,Tomatoes; Cucumbers; Aubergine,-,-,-,Cannot be calculated,-,-,> 2000,-,-,-,-,50,> 100,-,-,-,-
Trichoderma asperellum strain T34,"Tomatoes; Cucumbers; Melon; Pumpkin; Zucchini; Sweet peppers; Aubergine, Sunflower; Maize; Soybean; Ornamentals including carnations.",-,-,-,Cannot be calculated,-,1.0 x 10 e08,> 1.1 x 10 e08,> 7.80 x 10 e06,7.80 x 10 e06,1.0 x 10 e05,> 9.6 x 10 e08,9.6 x 10 e08,< 7.18 x 10 e07,-,1.0 x 10 e09,4.3 x 10 e07,-
Trichoderma atroviride strain AT10,Lettuce,-,-,-,Cannot be calculated,-,-,-,-,-,-,-,-,-,-,-,-,-
Trichoderma atroviride strain I-1237,Vines; Vegetable crops; Top fruit,-,-,-,Cannot be calculated,-,-,> 3.18 x 10 e09,-,-,-,1.83 x 10 e08,-,1.19 x 10 e08,-,-,1.56 x 10 e08,-
Trichoderma gamsii strain ICC080,Tomatoes; Lettuce; Aubergine; Vegetables; Cereals; Potatoes; Citrus; Soybean; Sugarcane; Grapes,-,-,-,Cannot be calculated,-,-,> 1.5 x 10 e09,-,-,-,> 200,> 100,-,6.25,-,-,-
Verticillium albo-atrum,Elm trees,-,-,-,Cannot be calculated,-,-,-,-,-,-,-,-,-,-,-,-,-
