"Zulassungsnr","product","substance","Wirkungsbereich","crop","health","reference.sum.risk.scores","formula","sum.risk.score","HL","TL","FL","PLI"
"00A679-00","COM 508 24 H EC","Pelargonsäure","Herbizid","Fruit","H315,H319",300,1,25,0.0833333333333333,0.0627945126831158,0.034766235833922,0.180894081850371
"027517-00","COM 802 09 M RB","Eisen-III-phosphat","Molluskizid","Food and non-food crops",NA,300,1,0,0,0.00914219344024205,0.000563933200398804,0.00970612664064086
"007643-00","Comet","Pyraclostrobin","Fungizid, Wachstumsregler","Cereals including wheat, barley, oats; forage & grain maize, triticale; Sugarbeet; Potatoes; Vegetables including brassicas, carrot; beans, vining peas; Fruit including strawberry, blackcurrants","H302,H304,H315,H317,H319,H332,H335,H361d,H373",300,1,230,0.766666666666667,0.34605866053382,0.0750010920492418,1.18772641924973
"024182-66","COMPO Austrieb-Spritzmittel","Paraffinöl (CAS 8042-47-5)","Akarizid, Insektizid","Fruit; Vines; Orchards; Fruiting vegetables; Potatoes; Citrus; Ornamentals",NA,300,1,0,0,0.0891956962792522,0.175015920707173,0.264211616986425
"024436-65","COMPO BIO Insekten-frei Neem","Azadirachtin","Insektizid",NA,NA,300,1,0,0,0,0,0
"050498-63","COMPO Bio Mehltau-frei Thiovit Jet","Schwefel","Fungizid","Fruit including apples, pears, gooseberries, grapes, peaches, strawberries, melons; Cereals; Hops; Beans; Carrots; Lucerne; Tomatoes; Peanuts; Ornamentals including roses","EUH066",300,1,10,0.0333333333333333,0.246014789108694,0.169493549255076,0.448841671697104
"02A325-60","COMPO BIO Mehltau-frei Universal AF","Kaliumhydrogencarbonat","Fungizid","Fruit including grapes, strawberries; apples; Vegetables; Aubergine; Tomatoes; Hemp",NA,300,1,0,0,0.000301500428730921,5.03866858788133e-05,0.000351887114609734
"007507-61","COMPO Bio Rasen Moos-frei Herbistop","Pelargonsäure","Herbizid","Fruit","H319",300,1,15,0.05,0.0257123746525257,0.0142356782913648,0.0899480529438905
"027517-60","COMPO BIO Schneckenkorn","Eisen-III-phosphat","Molluskizid","Food and non-food crops",NA,300,1,0,0,0.00914219344024205,0.000563933200398804,0.00970612664064086
"007507-60","COMPO Bio Unkrautvernichter Herbistop","Pelargonsäure","Herbizid","Fruit","H319",300,1,15,0.05,0.0257123746525257,0.0142356782913648,0.0899480529438905
"007508-60","COMPO Bio Unkrautvernichter Herbistop AF","Pelargonsäure","Herbizid","Fruit","H319",300,1,15,0.05,0.00335378799815552,0.0018568276032215,0.055210615601377
"008628-61","COMPO Blattlaus-frei Nativert","Rapsöl","Insektizid",NA,NA,300,1,0,0,0,0,0
"008629-64","COMPO Blattlaus-frei Nativert AF","Rapsöl","Insektizid",NA,NA,300,1,0,0,0,0,0
"024436-76","COMPO Buchsbaumzünsler K.O.","Azadirachtin","Insektizid",NA,NA,300,1,0,0,0,0,0
"006299-61","COMPO Duaxo Rosen Pilz-frei AF","Difenoconazol","Fungizid","Vegetables including carrots, asparagus, brassicas; Potatoes; Cereals including barley, oats, rye, wheat, triticale; Sweetcorn; Beets; Cotton; Canola; Tomato; Pome fruits",NA,300,1,0,0,0.000237452203525771,0.000189260134841427,0.000426712338367198
"006299-60","COMPO Duaxo Universal Pilz-frei AF","Difenoconazol","Fungizid","Vegetables including carrots, asparagus, brassicas; Potatoes; Cereals including barley, oats, rye, wheat, triticale; Sweetcorn; Beets; Cotton; Canola; Tomato; Pome fruits",NA,300,1,0,0,0.000237452203525771,0.000189260134841427,0.000426712338367198
"006171-00","COMPO Fazilo Garten-Spray","Pyrethrine","Akarizid, Insektizid",NA,NA,300,1,0,0,0,0,0
"006171-60","COMPO Fazilo Pflanzen-Spray","Pyrethrine","Akarizid, Insektizid",NA,NA,300,1,0,0,0,0,0
"006171-61","COMPO Fazilo Spinnmilben-Spray","Pyrethrine","Akarizid, Insektizid",NA,NA,300,1,0,0,0,0,0
"027820-60","COMPO FLORANID Rasendünger gegen Unkraut + Moos","2,4-D","Herbizid","Turf grass & pastures; Non-cropping situations; Amenity sites; Orchards; Cereals including barley, wheat and oats; Lucerne",NA,300,1,0,0,0.000676067874008408,0.00430496998920745,0.00498103786321585
"006275-60","COMPO Floranid Rasendünger mit Moosvernichter","Eisen-II-sulfat","Herbizid","Sports and amenity turf",NA,300,1,0,0,0.0141179420940428,0.000557255997970037,0.0146751980920128
"027821-60","COMPO Floranid Rasendünger plus Unkrautvernichter","2,4-D","Herbizid","Turf grass & pastures; Non-cropping situations; Amenity sites; Orchards; Cereals including barley, wheat and oats; Lucerne",NA,300,1,0,0,0.000676067874008408,0.00430496998920745,0.00498103786321585
"008629-62","COMPO Grün- und Blühpflanzen Schädlings-frei AF","Rapsöl","Insektizid",NA,NA,300,1,0,0,0,0,0
"007474-60","COMPO Insektenmittel PREV-AM","Orangenöl","Insektizid","Animals; Humans","H317,H319,H332",300,1,50,0.166666666666667,0.0024703472489106,0.00723529411764706,0.176372308033224
"008629-65","COMPO Kräuter & Gemüse Blattlaus-frei Nativert AF","Rapsöl","Insektizid",NA,NA,300,1,0,0,0,0,0
"008628-60","COMPO Nativert Blattlaus-frei","Rapsöl","Insektizid",NA,NA,300,1,0,0,0,0,0
"008629-60","COMPO Nativert Blattlaus-frei AF","Rapsöl","Insektizid",NA,NA,300,1,0,0,0,0,0
"008629-61","COMPO Nativert Kräuter & Gemüse Blattlaus-frei AF","Rapsöl","Insektizid",NA,NA,300,1,0,0,0,0,0
"006171-65","COMPO Orchideen-Spray","Pyrethrine","Akarizid, Insektizid",NA,NA,300,1,0,0,0,0,0
"008629-63","COMPO Orchideen Schädlings-frei AF","Rapsöl","Insektizid",NA,NA,300,1,0,0,0,0,0
"034560-72","COMPO Ortiva Spezial Pilz-frei","Azoxystrobin","Fungizid","Wheat; Fruit including grapes, citrus, strawberries, peaches; Sunflowers; Vegetables including onions, brassicas and curcubits; Potatoes; Cotton; Pecans; Canola; Soybeans; Peanuts; Tomato; Turf; Ornamentals","H332",300,1,15,0.05,0.0472886782538121,0.313238903820162,0.410527582073974
"008182-60","COMPO Pilz-frei Revus","Mandipropamid","Fungizid","Grapes; Potatoes; Tomatoes; Curcubits",NA,300,1,0,0,0.0226097759589409,0.102148574517815,0.124758350476756
"007507-64","COMPO Rasen Moos-frei Herbistop","Pelargonsäure","Herbizid","Fruit","H319",300,1,15,0.05,0.0257123746525257,0.0142356782913648,0.0899480529438905
"027820-61","COMPO Rasendünger gegen Unkraut + Moos","2,4-D","Herbizid","Turf grass & pastures; Non-cropping situations; Amenity sites; Orchards; Cereals including barley, wheat and oats; Lucerne",NA,300,1,0,0,0.000676067874008408,0.00430496998920745,0.00498103786321585
"006275-64","COMPO Rasendünger mit Moosvernichter","Eisen-II-sulfat","Herbizid","Sports and amenity turf",NA,300,1,0,0,0.0141179420940428,0.000557255997970037,0.0146751980920128
"027821-67","COMPO Rasendünger plus Unkrautvernichter","2,4-D","Herbizid","Turf grass & pastures; Non-cropping situations; Amenity sites; Orchards; Cereals including barley, wheat and oats; Lucerne",NA,300,1,0,0,0.000676067874008408,0.00430496998920745,0.00498103786321585
"005747-68","COMPO Rasenunkraut-Vernichter Banvel Quattro","2,4-D","Herbizid","Turf grass & pastures; Non-cropping situations; Amenity sites; Orchards; Cereals including barley, wheat and oats; Lucerne","H319",300,1,15,0.05,0.0143408336910874,0.0913175452256125,0.1556583789167
"005747-66","COMPO Rasenunkraut-Vernichter Perfekt","2,4-D","Herbizid","Turf grass & pastures; Non-cropping situations; Amenity sites; Orchards; Cereals including barley, wheat and oats; Lucerne","H319",300,1,15,0.05,0.0143408336910874,0.0913175452256125,0.1556583789167
"024780-64","COMPO Schädlings-frei plus","Pyrethrine","Insektizid",NA,NA,300,1,0,0,0,0,0
"024785-79","COMPO Schädlings-frei plus AF","Pyrethrine","Insektizid",NA,NA,300,1,0,0,0,0,0
"007825-60","COMPO Schnecken-frei","Metaldehyd","Molluskizid","Ornamentals; Fruit trees and bushes; Various other fruits including avocado, citrus and berries; Vegetables including broccoli, cauliflower, cabbage and articokes",NA,300,1,0,0,0.00864729661624965,0.0012295447906205,0.00987684140687015
"027517-61","COMPO Schneckenkorn","Eisen-III-phosphat","Molluskizid","Food and non-food crops",NA,300,1,0,0,0.00914219344024205,0.000563933200398804,0.00970612664064086
"024436-87","COMPO Trauermücken-frei","Azadirachtin","Insektizid",NA,NA,300,1,0,0,0,0,0
"007029-61","COMPO Triathlon Insekten-frei AF","lambda-Cyhalothrin","Insektizid","Cotton; Cereals; Potatoes; Hops; Vegetables",NA,300,1,0,0,0.00208894403294876,5.90054413600019e-05,0.00214794947430877
"006171-63","COMPO Triathlon Universal Insekten-frei AF","Pyrethrine","Akarizid, Insektizid",NA,NA,300,1,0,0,0,0,0
"034560-87","COMPO Universal Pilz-frei Duaxo","Azoxystrobin","Fungizid","Wheat; Fruit including grapes, citrus, strawberries, peaches; Sunflowers; Vegetables including onions, brassicas and curcubits; Potatoes; Cotton; Pecans; Canola; Soybeans; Peanuts; Tomato; Turf; Ornamentals","H332",300,1,15,0.05,0.0472886782538121,0.313238903820162,0.410527582073974
"034560-88","COMPO Universal Pilz-frei Duaxo N","Azoxystrobin","Fungizid","Wheat; Fruit including grapes, citrus, strawberries, peaches; Sunflowers; Vegetables including onions, brassicas and curcubits; Potatoes; Cotton; Pecans; Canola; Soybeans; Peanuts; Tomato; Turf; Ornamentals","H332",300,1,15,0.05,0.0472886782538121,0.313238903820162,0.410527582073974
"007507-63","COMPO Unkrautvernichter Herbistop","Pelargonsäure","Herbizid","Fruit","H319",300,1,15,0.05,0.0257123746525257,0.0142356782913648,0.0899480529438905
"007508-62","COMPO Unkrautvernichter Herbistop AF","Pelargonsäure","Herbizid","Fruit","H319",300,1,15,0.05,0.00335378799815552,0.0018568276032215,0.055210615601377
"006171-64","COMPO Zierpflanzen-Spray","Pyrethrine","Akarizid, Insektizid",NA,NA,300,1,0,0,0,0,0
"00A876-00","Compola","Diflufenican","Herbizid","Clover-based pastures; Field peas; Lentils; Lupins; Winter cereals; Soybeans; Corn","H317,H318,H336",300,1,120,0.4,0.00715248103450098,0.0190984332215696,0.426250914256071
"024487-61","Conatra 60","Metconazol","Fungizid, Wachstumsregler","Cereals including wheat, barley, rye, oats; OSR; Fruit including blueberry, cherry, gooseberry, nectarine, peach, plum; Pistachio; Turf and sod","H304,H315,H317,H318,H332,H335,H361d",300,1,205,0.683333333333333,0.00911221890913111,0.0728046254910795,0.765250177733544
"005984-00","CONCERT SX","Metsulfuron","Herbizid","Cereals; Land removed from production",NA,300,1,0,0,0.0038669568,0,0.0038669568
"025090-62","Conclude AZT 250 SC","Azoxystrobin","Fungizid","Wheat; Fruit including grapes, citrus, strawberries, peaches; Sunflowers; Vegetables including onions, brassicas and curcubits; Potatoes; Cotton; Pecans; Canola; Soybeans; Peanuts; Tomato; Turf; Ornamentals",NA,300,1,0,0,0.0472886782538121,0.313238903820162,0.360527582073974
"008317-00","CONFIGURE","6-Benzyladenin","Wachstumsregler",NA,NA,300,1,0,0,0,0,0
"006858-61","CONNEX","Metsulfuron","Herbizid","Cereals; Land removed from production","H317,H334",300,1,70,0.233333333333333,0.006595981,0,0.239929314333333
"007519-65","Conrod 250 EW","Tebuconazol","Fungizid, Wachstumsregler","Cereals including wheat, barley, oat, rye; Grapes; Peanuts; Vegetables including onions, peas, pepper; Bananas; Sugarcane","EUH066,H318,H335,H361d",300,1,160,0.533333333333333,0.0365395600216121,0.150393503266552,0.720266396621498
"00A405-00","ConShape","S-Abscisinsäure","Wachstumsregler",NA,NA,300,1,0,0,0,0,0
"025323-72","Contra Schnecken","Metaldehyd","Molluskizid","Ornamentals; Fruit trees and bushes; Various other fruits including avocado, citrus and berries; Vegetables including broccoli, cauliflower, cabbage and articokes","H361f",300,1,70,0.233333333333333,0.0103767559394996,0.0014754537487446,0.245185543021578
"007402-63","Contra Schnecken 3%","Metaldehyd","Molluskizid","Ornamentals; Fruit trees and bushes; Various other fruits including avocado, citrus and berries; Vegetables including broccoli, cauliflower, cabbage and articokes","H361f",300,1,70,0.233333333333333,0.0103767559394996,0.0014754537487446,0.245185543021578
"00B026-00","CONTROLLA 450 WG","Cymoxanil","Fungizid","Potatoes; Tomatoes; Grapes; Hops; Sugarbeet; Vines","H317,H319,H361fd,H373",300,1,175,0.583333333333333,0.0843446927734787,0.00807531964144231,0.675753345748254
"008430-00","CONVISO  ONE","Thiencarbazone","Herbizid","Corn; Sweetcorn; Soybean; Beet; Wheat (Spring & Durum); Turf; Ornamentals","H304,H315,H317,H318,H332,H351",300,1,195,0.65,0.00150074646473709,0.0303083642747285,0.681809110739466
"008695-00","COPFORCE EXTRA","Cymoxanil","Fungizid","Potatoes; Tomatoes; Grapes; Hops; Sugarbeet; Vines","H302,H317,H319,H361fd",300,1,115,0.383333333333333,0.0112459590364638,0.00107670928552564,0.395656001655323
"028956-60","COPRANTOL DUO","Kupferoxychlorid","Fungizid","Ornamentals; Beet crops; Olives; Grapes; Tomatoes","H332",300,1,15,0.05,0.117148362805579,0.000167397342965299,0.167315760148545
"026336-00","CORAGEN","Chlorantraniliprole","Insektizid","Potatoes; Grapes; Cotton; Rice; Vegetables including artichoke, asparagus, bulb vegetables, corn, herbs, legumes, roots and tubers",NA,300,1,0,0,0.277675626767656,1.09437012061889,1.37204574738655
"034028-64","Corail","Tebuconazol","Fungizid, Wachstumsregler","Cereals including wheat, barley, oat, rye; Grapes; Peanuts; Vegetables including onions, peas, pepper; Bananas; Sugarcane","H302,H318,H332,H335,H361d",300,1,175,0.583333333333333,0.0365395600216121,0.150393503266552,0.770266396621498
"025662-67","Corail Pro","Prothioconazol","Fungizid","Cereals including barley, rye, wheat, oats","H315,H319,H335,H361d",300,1,105,0.35,0.00994827784244084,0.0151534147595405,0.375101692601981
"00A631-00","COREY","Rimsulfuron","Herbizid","Maize; Potato; Tomato; Fruit including citrus, apples, pears, cherries, peaches, apricot, grapes; tree nuts; Pistachios","H319",300,1,15,0.05,0.025932433475147,0.0420476665786326,0.11798010005378
"028533-00","CORIDA","Tribenuron","Herbizid","Cereals including wheat, barley, triticale, oats; Grass seed crops; Cotton; Pre-harvest burndown","H317,H373",300,1,90,0.3,0.182571196233791,0.239940197403512,0.722511393637303
"025625-64","CORINTH CLASSIC","Prothioconazol","Fungizid","Cereals including barley, rye, wheat, oats",NA,300,1,0,0,0.0127337956383243,0.0193963708922118,0.0321301665305361
"008047-74","Cornufera Moosvernichter plus Rasendünger","Eisen-II-sulfat","Herbizid","Sports and amenity turf","H319",300,1,15,0.05,0.00966901076188646,0.00038165011625679,0.0600506608781433
"060122-81","Cornufera UV Unkrautvernichter mit Rasendünger","2,4-D","Herbizid","Turf grass & pastures; Non-cropping situations; Amenity sites; Orchards; Cereals including barley, wheat and oats; Lucerne",NA,300,1,0,0,0.00163895242183857,0.0104362908829271,0.0120752433047657
"00A657-61","Corrib","Prothioconazol","Fungizid","Cereals including barley, rye, wheat, oats","EUH066,H319,H335",300,1,35,0.116666666666667,0.0198965556848817,0.030306829519081,0.166870051870629
"00B125-00","COSAYR","Chlorantraniliprole","Insektizid","Potatoes; Grapes; Cotton; Rice; Vegetables including artichoke, asparagus, bulb vegetables, corn, herbs, legumes, roots and tubers",NA,300,1,0,0,0.277675626767656,1.09437012061889,1.37204574738655
"028511-00","Cossack Star","Thiencarbazone","Herbizid","Corn; Sweetcorn; Soybean; Beet; Wheat (Spring & Durum); Turf; Ornamentals","H315,H319",300,1,25,0.0833333333333333,0.00194598867315494,0.0393002648790567,0.124579586885545
"008334-00","Countdown NT","Trinexapac","Wachstumsregler","Cereals including wheat, barley, oats, rye; Oilseed rape; Amenity turf and grass","H317,H319",300,1,35,0.116666666666667,0.0251574876872355,0.0184847235561875,0.16030887791009
"006193-66","COVIL UKV","Pelargonsäure","Herbizid","Fruit",NA,300,1,0,0,0.0202049764199947,0.0111865025337675,0.0313914789537622
"034028-67","CRANE","Tebuconazol","Fungizid, Wachstumsregler","Cereals including wheat, barley, oat, rye; Grapes; Peanuts; Vegetables including onions, peas, pepper; Bananas; Sugarcane","H302,H318,H332,H335,H361d",300,1,175,0.583333333333333,0.0365395600216121,0.150393503266552,0.770266396621498
"025662-66","Crane Pro","Prothioconazol","Fungizid","Cereals including barley, rye, wheat, oats","H315,H319,H335,H361d",300,1,105,0.35,0.00994827784244084,0.0151534147595405,0.375101692601981
"008698-61","CRASHER","Nicosulfuron","Herbizid","Maize","H317",300,1,20,0.0666666666666667,0.0246610768367238,0.0184524900702719,0.109780233573662
"006220-62","Credence","Propyzamid","Herbizid","Alfalfa; OSR; Beans; Root crops; Fruit including apples, blackberry, boysenberry, blueberry, cherry, peach, pear, plum, prunes, grapes and others; Artichoke; Clover; Endive and various head lettuce; Ornamentals; Non-cropped and utility sites","H351",300,1,70,0.233333333333333,0.0459849184587008,0.175801248865685,0.455119500657719
"00A370-00","Credit Xtreme","Glyphosat","Herbizid","Agriculture including cereals; Soybeans, Glyphosate tolerant crops; Horticulture; Forestry; Domestic gardens; Lawns",NA,300,1,0,0,0.0316398730825412,0.0716108705505847,0.103250743633126
"00B264-00","Cresendo","Clomazone","Herbizid","Cotton; Vegetables including peas, potatoes, sweet potatoes, green beans, navy beans; Curcubits; Tobacco; Rice; Oilseed rape",NA,300,1,0,0,0.0576126416286721,0.259979018032977,0.317591659661649
"008135-00","Croisor 100","Sintofen","Wachstumsregler","Wheat","H351",300,1,70,0.233333333333333,0.0413813247112046,0.167690606762054,0.442405264806592
"025287-63","CROTON","Prothioconazol","Fungizid","Cereals including barley, rye, wheat, oats",NA,300,1,0,0,0.0198965556848817,0.030306829519081,0.0502033852039627
"008819-00","Croupier OD","Metsulfuron","Herbizid","Cereals; Land removed from production",NA,300,1,0,0,0.00087308634,0,0.00087308634
"027233-60","CROWN MH","Maleinsäurehydrazid","Wachstumsregler","Lawns; Amenity turf; Non-cropped areas; Fruit including citrus; Potatoes; Carrots; Onions, shallots & garlic; Tobacco; Ornamental shrubs",NA,300,1,0,0,0.0129243078616371,0.00285686277555966,0.0157811706371968
"00A475-60","Crozier","Prosulfocarb","Herbizid","Cereals including winter wheat and winter barley; Potatoes","H304,H315,H317,H319",300,1,55,0.183333333333333,0.145926675485826,0.357433468004176,0.686693476823335
"043753-61","CTU 700","Chlortoluron","Herbizid",NA,NA,300,1,0,0,0,0,0
"00A861-00","CUBE","Gibberellinsäure","Wachstumsregler",NA,NA,300,1,0,0,0,0,0
"033775-00","Cuproxat","Kupfersulfat, dreibasisch","Fungizid","Aquatic situations including ditches, drainage channels, streams, rivers, Hemp",NA,300,1,0,0,0.307296316913566,0.000243800914726033,0.307540117828292
"006895-00","Cuprozin progress","Kupferhydroxid","Fungizid",NA,"H318,H332",300,1,85,0.283333333333333,0,0,0.283333333333333
"034560-85","Curamat AZ Rosen-Pilzfrei","Azoxystrobin","Fungizid","Wheat; Fruit including grapes, citrus, strawberries, peaches; Sunflowers; Vegetables including onions, brassicas and curcubits; Potatoes; Cotton; Pecans; Canola; Soybeans; Peanuts; Tomato; Turf; Ornamentals","H332",300,1,15,0.05,0.0472886782538121,0.313238903820162,0.410527582073974
"034560-86","Curamat AZ Universal-Pilzfrei","Azoxystrobin","Fungizid","Wheat; Fruit including grapes, citrus, strawberries, peaches; Sunflowers; Vegetables including onions, brassicas and curcubits; Potatoes; Cotton; Pecans; Canola; Soybeans; Peanuts; Tomato; Turf; Ornamentals","H332",300,1,15,0.05,0.0472886782538121,0.313238903820162,0.410527582073974
"006867-67","Curamat Plus Rosen-Pilzfrei AF","Tebuconazol","Fungizid","Cereals including wheat, barley, oat, rye; Grapes; Peanuts; Vegetables including onions, peas, pepper; Bananas; Sugarcane",NA,300,1,0,0,1.82697800108061e-05,7.51967516332762e-05,9.34665316440822e-05
"006867-65","Curamat Plus Rosen-Pilzfrei Spray","Tebuconazol","Fungizid","Cereals including wheat, barley, oat, rye; Grapes; Peanuts; Vegetables including onions, peas, pepper; Bananas; Sugarcane",NA,300,1,0,0,1.82697800108061e-05,7.51967516332762e-05,9.34665316440822e-05
"006867-66","Curamat Plus Universal-Pilzfrei AF","Tebuconazol","Fungizid","Cereals including wheat, barley, oat, rye; Grapes; Peanuts; Vegetables including onions, peas, pepper; Bananas; Sugarcane",NA,300,1,0,0,1.82697800108061e-05,7.51967516332762e-05,9.34665316440822e-05
"007626-61","Curamat Rosen-Pilzfrei","Tebuconazol","Fungizid","Cereals including wheat, barley, oat, rye; Grapes; Peanuts; Vegetables including onions, peas, pepper; Bananas; Sugarcane",NA,300,1,0,0,0.00365395600216121,0.0150393503266552,0.0186933063288164
"00A770-00","CURATIO","Schwefelkalkbrühe","Fungizid","Fruit including apples, pears, gooseberries, grapes, peaches, strawberries, melons; Cereals; Hops; Beans; Carrots; Lucerne; Tomatoes; Peanuts; Ornamentals including roses","H302,H315,H317,H319,H332,H335",300,1,80,0.266666666666667,0.11685702482663,0.0805094358961612,0.464033127389458
"025287-60","Curbatur","Prothioconazol","Fungizid","Cereals including barley, rye, wheat, oats",NA,300,1,0,0,0.0198965556848817,0.030306829519081,0.0502033852039627
"00A607-00","CURRENT","Mefenpyr","Herbizid",NA,"H318",300,1,70,0.233333333333333,0.00030588,0,0.233639213333333
"00A112-00","CURZATE 60WG","Cymoxanil","Fungizid","Potatoes; Tomatoes; Grapes; Hops; Sugarbeet; Vines","H302,H317,H361fd,H373",300,1,170,0.566666666666667,0.112459590364638,0.0107670928552564,0.689893349886561
"007537-00","Custodia","Azoxystrobin","Fungizid","Wheat; Fruit including grapes, citrus, strawberries, peaches; Sunflowers; Vegetables including onions, brassicas and curcubits; Potatoes; Cotton; Pecans; Canola; Soybeans; Peanuts; Tomato; Turf; Ornamentals","H302,H361d",300,1,80,0.266666666666667,0.0226985655618298,0.150354673833678,0.439719906062174
"008357-60","CUTER","Mesotrione","Herbizid","Maize; Sweetcorn; Flax; Asparagus; Fruit including cranberry, blueberry, rhubarb","H317,H318,H361d",300,1,160,0.533333333333333,0.00953568413363444,0.0145989114843066,0.557467928951274
"006401-60","CYCLONE","lambda-Cyhalothrin","Insektizid","Cotton; Cereals; Potatoes; Hops; Vegetables",NA,300,1,0,0,6.52795010296489,0.184392004250006,6.7123421072149
"007213-62","CYCLONE CS","lambda-Cyhalothrin","Insektizid","Cotton; Cereals; Potatoes; Hops; Vegetables","H302,H330,H334",300,1,160,0.533333333333333,13.0559002059298,0.368784008500012,13.9580175477631
"00B016-00","Cydia Pro Press","(E,E)-8,10-Dodecadien-1-ol","Pheromon",NA,"H315,H317,H319",300,1,45,0.15,0,0,0.15
"006968-60","CYLEX PLUS","6-Benzyladenin","Wachstumsregler",NA,NA,300,1,0,0,0,0,0
"008260-00","Cymbal Flow","Cymoxanil","Fungizid","Potatoes; Tomatoes; Grapes; Hops; Sugarbeet; Vines","H314,H317,H361fd,H373",300,1,260,0.866666666666667,0.0421723463867394,0.00403765982072115,0.912876672874127
"00B062-00","Cymofil","Cymoxanil","Fungizid","Potatoes; Tomatoes; Grapes; Hops; Sugarbeet; Vines","H302,H317,H319,H361fd,H373",300,1,185,0.616666666666667,0.0843446927734787,0.00807531964144231,0.709086679081588
"00A112-60","Cymox WG","Cymoxanil","Fungizid","Potatoes; Tomatoes; Grapes; Hops; Sugarbeet; Vines","H302,H317,H361fd,H373",300,1,170,0.566666666666667,0.112459590364638,0.0107670928552564,0.689893349886561
"007456-00","Cyperkill Max","Cypermethrin","Insektizid","Cereals including wheat, barley, oats, rye, triticale; Vegetables including peas & beans, brassicas; Oilseed rape; Sugarbeet, fodder beet and mangels; Potatoes; Apples; Pears; Grassland","H302,H304,H315,H318,H332,H335,H336",300,1,155,0.516666666666667,72.0586606632227,0.164067932164399,72.7393952620537
"00A794-00","CZAR","Clomazone","Herbizid","Cotton; Vegetables including peas, potatoes, sweet potatoes, green beans, navy beans; Curcubits; Tobacco; Rice; Oilseed rape",NA,300,1,0,0,0.0576126416286721,0.259979018032977,0.317591659661649
"00A657-62","Dagda","Prothioconazol","Fungizid","Cereals including barley, rye, wheat, oats","EUH066,H319,H335",300,1,35,0.116666666666667,0.0198965556848817,0.030306829519081,0.166870051870629
"008647-00","Dagonis","Fluxapyroxad","Fungizid","Cereals; Legumes; Oilseeds including OSR, sunflowers; Top and stone fruit; Tuber and root vegetables; Peanuts; Tomato","H317,H351,H362",300,1,140,0.466666666666667,0.00724390938122761,0.123549387355806,0.5974599634037
"034092-63","DALIMO","Fluazinam","Fungizid","Peanuts; Potatoes; Grape vines; Fruit including citrus and apples; Crucifers","H317,H361d",300,1,90,0.3,1.02278565001661,0.704778126664918,2.02756377668153
"00A559-60","Daltrice","Mefenpyr","Herbizid",NA,"H318",300,1,70,0.233333333333333,0.0003464,0,0.233679733333333
"005685-62","DANAR","Trinexapac","Wachstumsregler","Cereals including wheat, barley, oats, rye; Oilseed rape; Amenity turf and grass","H317,H373",300,1,90,0.3,0.0251574876872355,0.0184847235561875,0.343642211243423
"038651-00","DANEVA","Mesotrione","Herbizid","Maize; Sweetcorn; Flax; Asparagus; Fruit including cranberry, blueberry, rhubarb","H318,H361d",300,1,140,0.466666666666667,0.00953568413363444,0.0145989114843066,0.490801262284608
"005655-60","Danjiri","Acetamiprid","Insektizid","Leafy Vegetables; Fruiting Vegetables; Fruit including citrus, apples, pears, grapes; Cotton; Ornamental Plants and Flowers","H302",300,1,10,0.0333333333333333,0.329042093432967,0.00305182101114926,0.36542724777745
"038651-60","Danzig","Mesotrione","Herbizid","Maize; Sweetcorn; Flax; Asparagus; Fruit including cranberry, blueberry, rhubarb","H318,H361d",300,1,140,0.466666666666667,0.00953568413363444,0.0145989114843066,0.490801262284608
"034066-62","Darby","2,4-D","Herbizid","Turf grass & pastures; Non-cropping situations; Amenity sites; Orchards; Cereals including barley, wheat and oats; Lucerne","H302,H318",300,1,80,0.266666666666667,0.10243452636491,0.652268180182946,1.02136937321452
"008627-60","DARIUM","Quizalofop-P-ethyl","Herbizid","Sugarbeet; Fodder beet; Winter and spring OSR; Potatoes; Combining peas; Field beans; Other pulses; Linseed; Sunflowers","H304,H315,H317,H318,H335,H336",300,1,150,0.5,0.00788250878875745,0.0100627449457311,0.517945253734489
"033838-63","Datamar","Prosulfocarb","Herbizid","Cereals including winter wheat and winter barley; Potatoes","H315,H317,H319",300,1,45,0.15,0.145926675485826,0.357433468004176,0.653360143490002
"00B097-00","Daxur","Mefentrifluconazole","Fungizid","Cereals","H315,H317,H351",300,1,100,0.333333333333333,0.0261983009625793,0.19340852480749,0.552940159103403
"00A318-00","DECCOPYR-POT","Pyrimethanil","Fungizid","Almonds; Pistachios; Fruit including grapes, stone fruits (except cherries), pome fruits, strawberries; Potatoes and other tuberous and corm vegetables; Tomatoes; Ornamentals; Lettuce",NA,300,1,0,0,0.0348971953744803,0.1580497988162,0.192946994190681
"00B101-00","DECIDE","Deltamethrin","Insektizid","Sugar beet; Cauliflower; Wheat; Tomatoes; Lettuce; Maize; Sweetcorn; Potatoes; Olives; Top fruit; Commercial, industrial and public buildings; Public health situations; Stored produce","H315,H318",300,1,80,0.266666666666667,73.9037070964072,0.0553549487498397,74.2257287118237
"007418-00","Decis forte","Deltamethrin","Insektizid","Sugar beet; Cauliflower; Wheat; Tomatoes; Lettuce; Maize; Sweetcorn; Potatoes; Olives; Top fruit; Commercial, industrial and public buildings; Public health situations; Stored produce","EUH066,H302,H304,H318,H332,H335,H336",300,1,155,0.516666666666667,147.807414192814,0.110709897499679,148.434790756981
"006408-61","DEDEVAP green","Pyrethrine","Insektizid",NA,"H336",300,1,30,0.1,0,0,0.1
"006423-61","DEDEVAP plus","Pyrethrine","Insektizid",NA,"H336",300,1,30,0.1,0,0,0.1
