"Zulassungsnr","product","substance","Wirkungsbereich","crop","health","reference.sum.risk.scores","formula","sum.risk.score","HL","TL","FL","PLI"
"00A839-00","Tachigaren LS","Hymexazol","Fungizid","Rice; Sugarbeet; Fodder beet; Vegetables; Tomatoes; Ornamentals","H302,H315,H317,H319,H361d",300,1,125,0.416666666666667,0.0451383174355688,0.102440599043079,0.564245583145314
"044044-00","Taifun forte","Glyphosat","Herbizid","Agriculture including cereals; Soybeans, Glyphosate tolerant crops; Horticulture; Forestry; Domestic gardens; Lawns",NA,300,1,0,0,0.0210932487216942,0.0477405803670565,0.0688338290887506
"00A475-61","Takoba","Prosulfocarb","Herbizid","Cereals including winter wheat and winter barley; Potatoes","H304,H315,H317,H319",300,1,55,0.183333333333333,0.145926675485826,0.357433468004176,0.686693476823335
"025678-60","TALENDO","Proquinazid","Fungizid","Cereals including wheat, barley, oats, rye, triticale; Grapes","H315,H318,H351",300,1,150,0.5,0.0309146484564878,0.186187159572307,0.717101808028794
"007414-00","Talendo Extra","Tetraconazole","Fungizid","Sugarbeet; Wheat; Grapes; Apple; Tomato","H319,H335,H351",300,1,95,0.316666666666667,0.0437267236533313,0.0597679514466073,0.420161341766605
"008274-00","TALISMA EC","Piperonylbutoxid","Insektizid",NA,"EUH066,H302,H317,H335",300,1,50,0.166666666666667,0.0121692309685543,0.0522271405764375,0.231063038211658
"025678-00","TALIUS","Proquinazid","Fungizid","Cereals including wheat, barley, oats, rye, triticale; Grapes","H315,H318,H351",300,1,150,0.5,0.0309146484564878,0.186187159572307,0.717101808028794
"00A536-60","Talius Pro","Prothioconazol","Fungizid","Cereals including barley, rye, wheat, oats","H317,H319,H351",300,1,105,0.35,0.0159172445479054,0.0242454636152648,0.39016270816317
"008181-00","Tanaris","Quinmerac","Herbizid","Cereals; Rape; Beet","H317,H319",300,1,35,0.116666666666667,0.029684028256698,0.0464330516242291,0.192783746547594
"00A940-00","Tandus","Fluroxypyr","Herbizid","Rangeland; Permanent pasture; Non-crop areas; Cereals including wheat, corn; Orchards; Vineyards","H304,H315,H317,H319,H335,H336",300,1,95,0.316666666666667,0.0329891856972948,0.025445322297696,0.375101174661657
"00A554-61","Tandus 200","Fluroxypyr","Herbizid","Rangeland; Permanent pasture; Non-crop areas; Cereals including wheat, corn; Orchards; Vineyards","H304,H315,H317,H319,H335,H336",300,1,95,0.316666666666667,0.0329891856972948,0.025445322297696,0.375101174661657
"00A590-60","Tandus EC","Fluroxypyr","Herbizid","Rangeland; Permanent pasture; Non-crop areas; Cereals including wheat, corn; Orchards; Vineyards","EUH066,H304,H319,H335,H336",300,1,75,0.25,0.0329891856972948,0.025445322297696,0.308434507994991
"007213-00","TARAK","lambda-Cyhalothrin","Insektizid","Cotton; Cereals; Potatoes; Hops; Vegetables","H302,H330,H334",300,1,160,0.533333333333333,13.0559002059298,0.368784008500012,13.9580175477631
"007667-00","Targa Max","Quizalofop-P","Herbizid","Sugarbeet; Fodder beet; Winter and spring OSR; Potatoes; Combining peas; Field beans; Other pulses; Linseed; Sunflowers","H304,H315,H318",300,1,90,0.3,0.0145826412592013,0.0186160781496025,0.333198719408804
"034060-00","Targa Super","Quizalofop-P","Herbizid","Sugarbeet; Fodder beet; Winter and spring OSR; Potatoes; Combining peas; Field beans; Other pulses; Linseed; Sunflowers","H304,H315,H317,H318,H332,H336",300,1,155,0.516666666666667,0.0072992031383894,0.00931810181974699,0.533283971624803
"00A637-00","Target SC","Metamitron","Herbizid","Sugarbeet; Fodder beet; Mangels; Red beet; Pome fruit","H302",300,1,10,0.0333333333333333,0.0629498940613275,0.236405181796499,0.332688409191159
"00A267-00","TARTAROS","Prothioconazol","Fungizid","Cereals including barley, rye, wheat, oats","H302,H315,H318",300,1,90,0.3,0.023875866821858,0.0363681954228972,0.360244062244755
"034457-00","TASK","Dicamba","Herbizid","Cotton; Sugarcane; Soybeans; Sorghum; Asparagus; Grass seed crops; Non-cropland; Cereals including wheat, triticale, oats, maize, rye","H318",300,1,70,0.233333333333333,0.185355610639299,0.0502395730955621,0.468928517068195
"008967-60","Tazer","Azoxystrobin","Fungizid","Wheat; Fruit including grapes, citrus, strawberries, peaches; Sunflowers; Vegetables including onions, brassicas and curcubits; Potatoes; Cotton; Pecans; Canola; Soybeans; Peanuts; Tomato; Turf; Ornamentals",NA,300,1,0,0,0.0472886782538121,0.313238903820162,0.360527582073974
"00A352-00","TEBU 25","Tebuconazol","Fungizid","Cereals including wheat, barley, oat, rye; Grapes; Peanuts; Vegetables including onions, peas, pepper; Bananas; Sugarcane","H302,H318,H332,H335,H361d",300,1,175,0.583333333333333,0.0365395600216121,0.150393503266552,0.770266396621498
"007519-63","Tebucur 250 EW","Tebuconazol","Fungizid, Wachstumsregler","Cereals including wheat, barley, oat, rye; Grapes; Peanuts; Vegetables including onions, peas, pepper; Bananas; Sugarcane","EUH066,H318,H335,H361d",300,1,160,0.533333333333333,0.0365395600216121,0.150393503266552,0.720266396621498
"00A657-00","Teko 250","Prothioconazol","Fungizid","Cereals including barley, rye, wheat, oats","EUH066,H319,H335",300,1,35,0.116666666666667,0.0198965556848817,0.030306829519081,0.166870051870629
"00B035-00","Teldor","Fenhexamid","Fungizid","Strawberries; Grapes; Kiwi fruit; Ornamentals",NA,300,1,0,0,0.0484840316141503,0.0469081532822857,0.0953921848964361
"00B098-00","Telescope","Metconazol","Fungizid","Cereals including wheat, barley, rye, oats; OSR; Fruit including blueberry, cherry, gooseberry, nectarine, peach, plum; Pistachio; Turf and sod","H304,H315,H318,H336,H351,H361d",300,1,260,0.866666666666667,0.008200997018218,0.0655241629419715,0.940391826626856
"008028-00","Templier","Nicosulfuron","Herbizid","Maize",NA,300,1,0,0,0.462395190688571,0.345984188817599,0.808379379506169
"028124-00","TEMSA SC","Mesotrione","Herbizid","Maize; Sweetcorn; Flax; Asparagus; Fruit including cranberry, blueberry, rhubarb","H317,H318,H361d",300,1,160,0.533333333333333,0.00953568413363444,0.0145989114843066,0.557467928951274
"00B091-00","TENSIRA","Fluroxypyr","Herbizid","Rangeland; Permanent pasture; Non-crop areas; Cereals including wheat, corn; Orchards; Vineyards","EUH066,H304,H319,H335,H336",300,1,75,0.25,0.0329891856972948,0.025445322297696,0.308434507994991
"025691-00","Teppeki","Flonicamid","Insektizid","Fruit including apples, pears, peaches, plums, melons, cherries; Cereals including wheat, barley, oats, rye, triticale; Potatoes; Cucumbers; Tomatoes; Aubergine; Various vegetables","H319",300,1,15,0.05,0.0402656218431888,0.00640030527117091,0.0966659271143597
"028866-60","Tercero Duo","Tribenuron","Herbizid","Cereals including wheat, barley, triticale, oats; Grass seed crops; Cotton; Pre-harvest burndown","H317,H373",300,1,90,0.3,0.0608612717331749,0.0799855938676485,0.440846865600823
"006897-00","Terminus","Fluazinam","Fungizid","Peanuts; Potatoes; Grape vines; Fruit including citrus and apples; Crucifers",NA,300,1,0,0,1.02278565001661,0.704778126664918,1.72756377668153
"007957-00","TERMINUS EXTRA","Cymoxanil","Fungizid","Potatoes; Tomatoes; Grapes; Hops; Sugarbeet; Vines","H302,H317,H361fd,H373",300,1,170,0.566666666666667,0.0374865301215461,0.00358903095175214,0.607742227739965
"060122-57","TerraDomi Rasendünger mit Unkrautvernichter","2,4-D","Herbizid","Turf grass & pastures; Non-cropping situations; Amenity sites; Orchards; Cereals including barley, wheat and oats; Lucerne",NA,300,1,0,0,0.00163895242183857,0.0104362908829271,0.0120752433047657
"060122-98","Terrauno Unkrautvernichter+Rasendünger","2,4-D","Herbizid","Turf grass & pastures; Non-cropping situations; Amenity sites; Orchards; Cereals including barley, wheat and oats; Lucerne",NA,300,1,0,0,0.00163895242183857,0.0104362908829271,0.0120752433047657
"008405-60","TESANTO","Benzovindiflupyr","Fungizid","Cereals inc wheat, rye, barley, oats; Corn; Cucurbit and fruiting vegetables; Grapes; Peanuts; Pome fruit; Potatoes; Soybeans; Sugarcane","EUH066,H302,H317,H318,H332,H335",300,1,135,0.45,0.28107125145024,0.650608738252094,1.38167998970233
"007519-60","TESON","Tebuconazol","Fungizid, Wachstumsregler","Cereals including wheat, barley, oat, rye; Grapes; Peanuts; Vegetables including onions, peas, pepper; Bananas; Sugarcane","EUH066,H318,H335,H361d",300,1,160,0.533333333333333,0.0365395600216121,0.150393503266552,0.720266396621498
"008835-00","Tessior","Pyraclostrobin","Fungizid","Cereals including wheat, barley, oats; forage & grain maize, triticale; Sugarbeet; Potatoes; Vegetables including brassicas, carrot; beans, vining peas; Fruit including strawberry, blackcurrants","H315",300,1,10,0.0333333333333333,0.00865146651334551,0.00187502730123105,0.0438598271479099
"025625-60","THESORUS","Prothioconazol","Fungizid","Cereals including barley, rye, wheat, oats",NA,300,1,0,0,0.0127337956383243,0.0193963708922118,0.0321301665305361
"00A249-00","Thiopron","Schwefel","Fungizid","Fruit including apples, pears, gooseberries, grapes, peaches, strawberries, melons; Cereals; Hops; Beans; Carrots; Lucerne; Tomatoes; Peanuts; Ornamentals including roses","H317,H319",300,1,35,0.116666666666667,0.253702751268341,0.174790222669297,0.545159640604305
"024348-60","Thiovit Gold","Schwefel","Fungizid","Fruit including apples, pears, gooseberries, grapes, peaches, strawberries, melons; Cereals; Hops; Beans; Carrots; Lucerne; Tomatoes; Peanuts; Ornamentals including roses","H315",300,1,10,0.0333333333333333,0.246014789108694,0.169493549255076,0.448841671697104
"050498-00","THIOVIT JET","Schwefel","Fungizid","Fruit including apples, pears, gooseberries, grapes, peaches, strawberries, melons; Cereals; Hops; Beans; Carrots; Lucerne; Tomatoes; Peanuts; Ornamentals including roses","EUH066",300,1,10,0.0333333333333333,0.246014789108694,0.169493549255076,0.448841671697104
"006855-00","Tilmor","Prothioconazol","Fungizid","Cereals including barley, rye, wheat, oats",NA,300,1,0,0,0.00636689781916214,0.00969818544610592,0.0160650832652681
"00B324-00","Tiocan","Prothioconazol","Fungizid","Cereals including barley, rye, wheat, oats","EUH066,H319,H335",300,1,35,0.116666666666667,0.0198965556848817,0.030306829519081,0.166870051870629
"034273-00","TITUS","Rimsulfuron","Herbizid","Maize; Potato; Tomato; Fruit including citrus, apples, pears, cherries, peaches, apricot, grapes; tree nuts; Pistachios",NA,300,1,0,0,0.0432207224585783,0.0700794442977209,0.113300166756299
"00A497-60","TOKYO","Prothioconazol","Fungizid","Cereals including barley, rye, wheat, oats","EUH066,H319,H335",300,1,35,0.116666666666667,0.0198965556848817,0.030306829519081,0.166870051870629
"024091-00","Toluron 700 SC","Chlortoluron","Herbizid",NA,"H351,H361d",300,1,140,0.466666666666667,0,0,0.466666666666667
